 Chunk         Ties       Losses         Wins        Total
     0      1821451      1962328     50270221     54054000
     1      1175597       881394     51997009     54054000
     2      1385003      2093962     50575035     54054000
     3      1614804      4687043     47752153     54054000
     4      1367002      1655800     51031198     54054000
     5      1796109      1939543     50318348     54054000
     6      1429657       734821     51889522     54054000
     7      1606091      3411395     49036514     54054000
     8      2695218      3999210     47359572     54054000
     9      2885981      3553300     47614719     54054000
    10      1673736      4330562     48049702     54054000
    11      1572091      1457029     51024880     54054000
    12      1524046      1246422     51283532     54054000
    13      2138078      1144167     50771755     54054000
    14      2275131      1551454     50227415     54054000
    15      1328971      1161072     51563957     54054000
    16      1466809      1978801     50608390     54054000
    17      1679734      1402119     50972147     54054000
    18      2762524      3163159     48128317     54054000
    19      3217985      2464121     48371894     54054000
    20      3800669      3977005     46276326     54054000
    21      5326661      3513930     45213409     54054000
    22      3879729      3916357     46257914     54054000
    23      2740428      3472149     47841423     54054000
    24      3554902      2496608     48002490     54054000
    25      3346829      3658413     47048758     54054000
    26      1652483      2178519     50222998     54054000
    27      1822400      1139826     51091774     54054000
    28      1544950      1304460     51204590     54054000
    29      2276641      1155589     50621770     54054000
    30      1957805       944985     51151210     54054000
    31      1589605       769391     51695004     54054000
    32      4471961      1316883     48265156     54054000
    33      2857907      1195780     50000313     54054000
    34      1836743      1023325     51193932     54054000
    35      1570937      2322182     50160881     54054000
    36      1526717      1150397     51376886     54054000
    37      2538917      2474880     49040203     54054000
    38      2276254      2211762     49565984     54054000
    39      1618401       722916     51712683     54054000
    40      1799029      1253246     51001725     54054000
    41      3623620      2030167     48400213     54054000
    42      4071540      2658493     47323967     54054000
    43      3066631      1757832     49229537     54054000
    44      3678259      2271759     48103982     54054000
    45      3789540      3835546     46428914     54054000
    46      5378068      3341980     45333952     54054000
    47      4463877      2976347     46613776     54054000
    48      4852849      1917579     47283572     54054000
    49      8511569      3993901     41548530     54054000
    50      7134306      3994665     42925029     54054000
    51      3127483      2055770     48870747     54054000
    52      2969854      3130654     47953492     54054000
    53      4315669      3623843     46114488     54054000
    54      3136974      1606315     49310711     54054000
    55      3157836      1629215     49266949     54054000
    56      8242028      4022851     41789121     54054000
    57      4070203      2556946     47426851     54054000
    58      1432842      1295472     51325686     54054000
    59      2271625      1512044     50270331     54054000
    60      3361685      2162628     48529687     54054000
    61      2040693      1334539     50678768     54054000
    62      1566223      1960815     50526962     54054000
    63      2237334      2051881     49764785     54054000
    64      1983306      1508895     50561799     54054000
    65      1726465      1166012     51161523     54054000
    66      4093238      2560226     47400536     54054000
    67      2761107      2155300     49137593     54054000
    68      2228033       483763     51342204     54054000
    69      1989282      1178131     50886587     54054000
    70      2889816      1080908     50083276     54054000
    71      4493002      2390163     47170835     54054000
    72      5168650      2753228     46132122     54054000
    73      4754291      2307535     46992174     54054000
    74      2538805      1896981     49618214     54054000
    75      1345311      1250109     51458580     54054000
    76      1409112      3319853     49325035     54054000
    77      1424988      1170249     51458763     54054000
    78      2714783      3449700     47889517     54054000
    79      1849413      2412979     49791608     54054000
    80      2069756      1163183     50821061     54054000
    81      1730862      1826507     50496631     54054000
    82      4065399      3159201     46829400     54054000
    83      3482964      3135227     47435809     54054000
    84      2834978      2607251     48611771     54054000
    85      1894762       864158     51295080     54054000
    86      2775296       813405     50465299     54054000
    87      2037426      1395277     50621297     54054000
    88      2422466      1698539     49932995     54054000
    89      3592114      2481466     47980420     54054000
    90      5077443      3185188     45791369     54054000
    91      6454193      3610534     43989273     54054000
    92      3353219      2994372     47706409     54054000
    93      5090657      2639529     46323814     54054000
    94      2197101      1681170     50175729     54054000
    95      2843255      4035476     47175269     54054000
    96      2744291      5764944     45544765     54054000
    97      3333508      5434240     45286252     54054000
    98      3174007      4354163     46525830     54054000
    99      3166278      3486080     47401642     54054000
   100      4962180      6012586     43079234     54054000
   101      4393997      5679124     43980879     54054000
   102      3244951      2166757     48642292     54054000
   103      3432641      2866234     47755125     54054000
   104      2816121      3460000     47777879     54054000
   105      4117240      4651049     45285711     54054000
   106      6333951      6617136     41102913     54054000
   107      6528272      5807052     41718676     54054000
   108      4233566      4468021     45352413     54054000
   109      2487689      4585217     46981094     54054000
   110      3053052      4072717     46928231     54054000
   111      4159844      6617774     43276382     54054000
   112      3678832      2534060     47841108     54054000
   113      3278233      3490988     47284779     54054000
   114      7286071      6674214     40093715     54054000
   115      4099734      3543272     46410994     54054000
   116      4861482      1951702     47240816     54054000
   117      2992045      3125199     47936756     54054000
   118      4231984      3436845     46385171     54054000
   119      6678540      5624869     41750591     54054000
   120     10253612      6562181     37238207     54054000
   121      5903188      4638743     43512069     54054000
   122      3126496      3108112     47819392     54054000
   123      2125649      3465987     48462364     54054000
   124      2167379      1898430     49988191     54054000
   125      3804722      3668549     46580729     54054000
   126      2622214      1672187     49759599     54054000
   127      3408370      3266583     47379047     54054000
   128      5392317      4193883     44467800     54054000
   129      2860542      2278709     48914749     54054000
   130      1719071      2515486     49819443     54054000
   131      2329931      2914079     48809990     54054000
   132      2233936      2100316     49719748     54054000
   133      2070467      1680524     50303009     54054000
   134      4263185      3750086     46040729     54054000
   135      2998184      3188152     47867664     54054000
   136      2634207       817050     50602743     54054000
   137      2328775      1687440     50037785     54054000
   138      3397733      1627878     49028389     54054000
   139      4673978      3311001     46069021     54054000
   140      5312395      3718092     45023513     54054000
   141      5182478      3196644     45674878     54054000
   142      2513205      2181326     49359469     54054000
   143      3829921      2612872     47611207     54054000
   144      2038561      2982811     49032628     54054000
   145      2741054      3635482     47677464     54054000
   146      2845092      2752290     48456618     54054000
   147      4513368      4733134     44807498     54054000
   148      1775681      7150158     45128161     54054000
   149      2331795      7404379     44317826     54054000
   150      3379696      9019945     41654359     54054000
   151      2207960      7695020     44151020     54054000
   152      3689745      7670784     42693471     54054000
   153      4002520      8209196     41842284     54054000
   154      2045286      5816789     46191925     54054000
   155      1683059      2203995     50166946     54054000
   156      1381159      3312176     49360665     54054000
   157      1627154      1996447     50430399     54054000
   158      2302054      3990800     47761146     54054000
   159      2051979      3541443     48460578     54054000
   160      1969935      1196181     50887884     54054000
   161      1848177      1731889     50473934     54054000
   162      3327596      3663460     47062944     54054000
   163      3745357      4396230     45912413     54054000
   164      2842927      3345066     47866007     54054000
   165      1893584      1497292     50663124     54054000
   166      2618366      1144568     50291066     54054000
   167      2836464      1490892     49726644     54054000
   168      2226863      1957543     49869594     54054000
   169      3501459      2762288     47790253     54054000
   170      4424479      4345363     45284158     54054000
   171      6302570      3826505     43924925     54054000
   172      3152746      3423634     47477620     54054000
   173      4727264      3291989     46034747     54054000
   174      2811775      2707789     48534436     54054000
   175      2510410      2242426     49301164     54054000
   176      2666207      1680303     49707490     54054000
   177      3801637      1662050     48590313     54054000
   178      4783498      2025954     47244548     54054000
   179      3072263      2266595     48715142     54054000
   180      2518559      2706499     48828942     54054000
   181      3395701      2663354     47994945     54054000
   182      4553323      2756913     46743764     54054000
   183      3514458      4118633     46420909     54054000
   184      3922101      5970971     44160928     54054000
   185      5204314      5250442     43599244     54054000
   186      5224562      4131440     44697998     54054000
   187      5317136      6483373     42253491     54054000
   188      3891798      5770537     44391665     54054000
   189      5564159      4917939     43571902     54054000
   190      5290596      3996842     44766562     54054000
   191      6271159      5808130     41974711     54054000
   192      2428900      4207797     47417303     54054000
   193      3154504      4270322     46629174     54054000
   194       293558      1264117     52496325     54054000
   195       317281      1075074     52661645     54054000
   196       345205      1268404     52440391     54054000
   197       342962       782030     52929008     54054000
   198       356689       934487     52762824     54054000
   199       470274      1158654     52425072     54054000
   200       272630       662064     53119306     54054000
   201       331012       459341     53263647     54054000
   202       320922       968072     52765006     54054000
   203       380121       828009     52845870     54054000
   204       491752       925249     52636999     54054000
   205       437259      1012437     52604304     54054000
   206       351175       671530     53031295     54054000
   207       221678       508536     53323786     54054000
   208       277866       482676     53293458     54054000
   209       369425       487670     53196905     54054000
   210       199680       861067     52993253     54054000
   211       228563       705340     53120097     54054000
   212       218520       553844     53281636     54054000
   213       297367       660568     53096065     54054000
   214       417437       954621     52681942     54054000
   215       436244      1076279     52541477     54054000
   216       477670       963756     52612574     54054000
   217       454228       765481     52834291     54054000
   218       401768       680137     52972095     54054000
   219       461522       968979     52623499     54054000
   220       399198      1142989     52511813     54054000
   221       479309       955968     52618723     54054000
   222       523879      1108237     52421884     54054000
   223       492745       696325     52864930     54054000
   224       602753      1089550     52361697     54054000
   225       730124      1039928     52283948     54054000
   226       414258       521892     53117850     54054000
   227       517130       462321     53074549     54054000
   228       548045      1032859     52473096     54054000
   229       688949       794843     52570208     54054000
   230       745147      1022295     52286558     54054000
   231       805294       862746     52385960     54054000
   232       513170       576234     52964596     54054000
   233       395000       535895     53123105     54054000
   234       420677       390881     53242442     54054000
   235       540388       461525     53052087     54054000
   236       474225       955345     52624430     54054000
   237       587600       712104     52754296     54054000
   238       525029       502487     53026484     54054000
   239       746491       661006     52646503     54054000
   240       703889      1122591     52227520     54054000
   241       725126       849759     52479115     54054000
   242       670263       887857     52495880     54054000
   243       583393       783193     52687414     54054000
   244       473742       500294     53079964     54054000
   245       801613      1220540     52031847     54054000
   246      1719818      2810409     49523773     54054000
   247      1599564      1723205     50731231     54054000
   248      3516203      2961410     47576387     54054000
   249      1877659      1264782     50911559     54054000
   250      2694213      2192277     49167510     54054000
   251      4823374      2680883     46549743     54054000
   252      2857457      1482678     49713865     54054000
   253      2384012      1290841     50379147     54054000
   254      2125299      1583249     50345452     54054000
   255      3337084      2424213     48292703     54054000
   256      5217175      2817429     46019396     54054000
   257      3547785      2344453     48161762     54054000
   258      3234973      2015305     48803722     54054000
   259      1711978      2768419     49573603     54054000
   260      2323697      2622807     49107496     54054000
   261      2272071      2680717     49101212     54054000
   262      2193159      1489371     50371470     54054000
   263      4241810      3889400     45922790     54054000
   264      3232480      3475325     47346195     54054000
   265      2756590      1232839     50064571     54054000
   266      2320292      1545789     50187919     54054000
   267      3374846      1734995     48944159     54054000
   268      4446508      3585976     46021516     54054000
   269      5836959      3591082     44625959     54054000
   270      4497285      3279912     46276803     54054000
   271      3555759      2750440     47747801     54054000
   272      3029415      2672182     48352403     54054000
   273      2650118      3532463     47871419     54054000
   274      2234214      3397593     48422193     54054000
   275      3039710      3625482     47388808     54054000
   276      4025795      4690245     45337960     54054000
   277      2145374      6514751     45393875     54054000
   278      2000409      9787026     42266565     54054000
   279      2730305      9865366     41458329     54054000
   280      1973790      9403486     42676724     54054000
   281      3256427      9123105     41674468     54054000
   282      4284908     10353626     39415466     54054000
   283      1333143      6309812     46411045     54054000
   284      2960030      5239251     45854719     54054000
   285      3192738      5613037     45248225     54054000
   286      1398546      8334558     44320896     54054000
   287      1945468      4154875     47953657     54054000
   288      2789609      4651368     46613023     54054000
   289      3700967      4760112     45592921     54054000
   290      3010126      5091482     45952392     54054000
   291      2126792      6842350     45084858     54054000
   292      2839280     10523267     40691453     54054000
   293      1629002      7003754     45421244     54054000
   294        17834      2985312     51050854     54054000
   295        17574      2837636     51198790     54054000
   296        20179      2591233     51442588     54054000
   297        34397      3019337     51000266     54054000
   298        66832      2681591     51305577     54054000
   299       110121      2791359     51152520     54054000
   300       146307      2923165     50984528     54054000
   301       227366      2854636     50971998     54054000
   302       147516      2776331     51130153     54054000
   303       867965      5831643     47354392     54054000
   304      1921936      7236746     44895318     54054000
   305      2336605      5525508     46191887     54054000
   306      1167959      2454108     50431933     54054000
   307      1514672      3159934     49379394     54054000
   308      1782070      2897886     49374044     54054000
   309      2364703      5510363     46178934     54054000
   310      1655176      1572301     50826523     54054000
   311      2206499      2123381     49724120     54054000
   312      2612826      3223023     48218151     54054000
   313      4104854      5535297     44413849     54054000
   314      3183865      4611453     46258682     54054000
   315      1648939      2120807     50284254     54054000
   316      2340769      1392334     50320897     54054000
   317      3589211      1703541     48761248     54054000
   318      2014681      2506107     49533212     54054000
   319      3149509      2421086     48483405     54054000
   320      3409845      3974087     46670068     54054000
   321      5921558      4909643     43222799     54054000
   322      4149953      5086395     44817652     54054000
   323      3720574      3474866     46858560     54054000
   324      4365992      4141251     45546757     54054000
   325      2471509      2816413     48766078     54054000
   326      2223414      2957154     48873432     54054000
   327      3424626      2790039     47839335     54054000
   328      3745017      2220708     48088275     54054000
   329      4199809      3753603     46100588     54054000
   330      1784517      4054639     48214844     54054000
   331      2990278      4052544     47011178     54054000
   332      3036656      2913882     48103462     54054000
   333      4035975      5682696     44335329     54054000
   334      2160159      8247052     43646789     54054000
   335      3452143      8117341     42484516     54054000
   336      3273134      5752660     45028206     54054000
   337      4730842     10240748     39082410     54054000
   338      2494562      8253749     43305689     54054000
   339      4400275      8454155     41199570     54054000
   340      4521536      6558220     42974244     54054000
   341      6234567     10323306     37496127     54054000
   342      1715153      5461406     46877441     54054000
   343      2785472      6444249     44824279     54054000
   344      2392945      3656396     48004659     54054000
   345      3572921      3569668     46911411     54054000
   346      3629357      2595303     47829340     54054000
   347      5448090      4636987     43968923     54054000
   348      4125226      2992762     46936012     54054000
   349      4987485      6655116     42411399     54054000
   350      4634760      7570196     41849044     54054000
   351      1827912      4403027     47823061     54054000
   352      3270337      3926008     46857655     54054000
   353      3724456      3169329     47160215     54054000
   354      5564992      4771396     43717612     54054000
   355      4630174      2834900     46588926     54054000
   356      5836593      6340919     41876488     54054000
   357      5734082      8779294     39540624     54054000
   358       837223      3514116     49702661     54054000
   359       599682      1300882     52153436     54054000
   360       577419      1085003     52391578     54054000
   361       736568      1160866     52156566     54054000
   362       567470       727667     52758863     54054000
   363       699808       995504     52358688     54054000
   364       805917      1160409     52087674     54054000
   365       407526      1335560     52310914     54054000
   366       631918      1235262     52186820     54054000
   367       615108      1046566     52392326     54054000
   368       810977      1163676     52079347     54054000
   369       618506       707340     52728154     54054000
   370       781204      1019001     52253795     54054000
   371       915372      1077371     52061257     54054000
   372       739041      3573158     49741801     54054000
   373      2369414      5058461     46626125     54054000
   374      3469858      4886185     45697957     54054000
   375      3938516      5969565     44145919     54054000
   376         2064         6326     54045610     54054000
   377          763        29041     54024196     54054000
   378          767        15976     54037257     54054000
   379         1778        18338     54033884     54054000
   380            0            0     54054000     54054000
   381         1377         7091     54045532     54054000
   382         1623         4997     54047380     54054000
   383          876        13076     54040048     54054000
   384           59          568     54053373     54054000
   385            0            0     54054000     54054000
   386           98         2463     54051439     54054000
   387          552         3848     54049600     54054000
   388          642         2478     54050880     54054000
   389         2525        13056     54038419     54054000
   390         3772        12346     54037882     54054000
   391          775         4109     54049116     54054000
   392          204          808     54052988     54054000
   393            0            0     54054000     54054000
   394            0            0     54054000     54054000
   395            0            0     54054000     54054000
   396       373487       516970     53163543     54054000
   397       413998       646785     52993217     54054000
   398       384766       580487     53088747     54054000
   399       351060       435665     53267275     54054000
   400       419761       696740     52937499     54054000
   401       338891       431366     53283743     54054000
