 Chunk         Ties       Losses         Wins        Total
     0      1825914      1961286     50266800     54054000
     1      1178417       880832     51994751     54054000
     2      1388222      2093053     50572725     54054000
     3      1623508      4679188     47751304     54054000
     4      1370853      1655308     51027839     54054000
     5      1800615      1937495     50315890     54054000
     6      1432862       734547     51886591     54054000
     7      1609985      3408679     49035336     54054000
     8      2708260      3987133     47358607     54054000
     9      2888362      3551974     47613664     54054000
    10      1675685      4329061     48049254     54054000
    11      1575445      1456709     51021846     54054000
    12      1528036      1244528     51281436     54054000
    13      2142070      1141574     50770356     54054000
    14      2279464      1551100     50223436     54054000
    15      1333400      1159571     51561029     54054000
    16      1470414      1978282     50605304     54054000
    17      1683799      1401544     50968657     54054000
    18      2764680      3162072     48127248     54054000
    19      3222697      2460752     48370551     54054000
    20      3806811      3971722     46275467     54054000
    21      5334575      3507975     45211450     54054000
    22      3882863      3913963     46257174     54054000
    23      2743127      3470349     47840524     54054000
    24      3557973      2495021     48001006     54054000
    25      3352482      3653409     47048109     54054000
    26      1654273      2177252     50222475     54054000
    27      1825619      1138582     51089799     54054000
    28      1547549      1303292     51203159     54054000
    29      2279841      1153899     50620260     54054000
    30      1959942       944685     51149373     54054000
    31      1591531       769113     51693356     54054000
    32      4475078      1315599     48263323     54054000
    33      2859446      1195186     49999368     54054000
    34      1840949      1022899     51190152     54054000
    35      1574685      2320579     50158736     54054000
    36      1529984      1149996     51374020     54054000
    37      2541516      2473780     49038704     54054000
    38      2278741      2210852     49564407     54054000
    39      1620043       722693     51711264     54054000
    40      1804567      1252925     50996508     54054000
    41      3626635      2028910     48398455     54054000
    42      4075264      2656681     47322055     54054000
    43      3069924      1755713     49228363     54054000
    44      3680659      2270377     48102964     54054000
    45      3798063      3828287     46427650     54054000
    46      5386240      3335799     45331961     54054000
    47      4467516      2974129     46612355     54054000
    48      4858632      1915033     47280335     54054000
    49      8523223      3984547     41546230     54054000
    50      7141114      3988590     42924296     54054000
    51      3131137      2053981     48868882     54054000
    52      2977540      3125394     47951066     54054000
    53      4327551      3613938     46112511     54054000
    54      3141286      1603259     49309455     54054000
    55      3161656      1627804     49264540     54054000
    56      8255179      4011738     41787083     54054000
    57      4078769      2551673     47423558     54054000
    58      1436894      1292314     51324792     54054000
    59      2277399      1506774     50269827     54054000
    60      3368944      2156699     48528357     54054000
    61      2045065      1332549     50676386     54054000
    62      1569671      1959026     50525303     54054000
    63      2242159      2048482     49763359     54054000
    64      1985571      1508138     50560291     54054000
    65      1728776      1165320     51159904     54054000
    66      4099345      2556631     47398024     54054000
    67      2764166      2152849     49136985     54054000
    68      2229871       483323     51340806     54054000
    69      1991497      1177194     50885309     54054000
    70      2893572      1079141     50081287     54054000
    71      4499157      2386627     47168216     54054000
    72      5177860      2746831     46129309     54054000
    73      4763305      2300403     46990292     54054000
    74      2544867      1892842     49616291     54054000
    75      1349622      1249647     51454731     54054000
    76      1413160      3317801     49323039     54054000
    77      1428943      1169698     51455359     54054000
    78      2719302      3446571     47888127     54054000
    79      1852704      2411738     49789558     54054000
    80      2073038      1162811     50818151     54054000
    81      1734805      1826030     50493165     54054000
    82      4068716      3157783     46827501     54054000
    83      3486010      3133330     47434660     54054000
    84      2838223      2604843     48610934     54054000
    85      1897466       863888     51292646     54054000
    86      2777532       813013     50463455     54054000
    87      2041540      1394732     50617728     54054000
    88      2426494      1697564     49929942     54054000
    89      3595827      2479494     47978679     54054000
    90      5082546      3182962     45788492     54054000
    91      6460411      3606945     43986644     54054000
    92      3359934      2990188     47703878     54054000
    93      5098467      2634693     46320840     54054000
    94      2200933      1678117     50174950     54054000
    95      2848375      4032481     47173144     54054000
    96      2747482      5763802     45542716     54054000
    97      3339772      5430616     45283612     54054000
    98      3177620      4353027     46523353     54054000
    99      3171022      3485106     47397872     54054000
   100      4967534      6009348     43077118     54054000
   101      4399542      5674949     43979509     54054000
   102      3250006      2165402     48638592     54054000
   103      3438223      2864822     47750955     54054000
   104      2822163      3458776     47773061     54054000
   105      4123019      4648999     45281982     54054000
   106      6340404      6614106     41099490     54054000
   107      6538227      5801873     41713900     54054000
   108      4240200      4463328     45350472     54054000
   109      2493457      4582264     46978279     54054000
   110      3058107      4070479     46925414     54054000
   111      4168301      6611231     43274468     54054000
   112      3683081      2532810     47838109     54054000
   113      3283989      3489672     47280339     54054000
   114      7297090      6664850     40092060     54054000
   115      4105122      3539291     46409587     54054000
   116      4865804      1949917     47238279     54054000
   117      2999587      3123967     47930446     54054000
   118      4240071      3434671     46379258     54054000
   119      6686214      5619323     41748463     54054000
   120     10265047      6553464     37235489     54054000
   121      5915043      4630673     43508284     54054000
   122      3132384      3103524     47818092     54054000
   123      2129542      3462978     48461480     54054000
   124      2169614      1897397     49986989     54054000
   125      3810018      3663857     46580125     54054000
   126      2625674      1670828     49757498     54054000
   127      3413898      3263190     47376912     54054000
   128      5399961      4187415     44466624     54054000
   129      2866150      2275722     48912128     54054000
   130      1723193      2513299     49817508     54054000
   131      2336295      2909160     48808545     54054000
   132      2237725      2098750     49717525     54054000
   133      2073801      1679525     50300674     54054000
   134      4270437      3744093     46039470     54054000
   135      3002244      3185003     47866753     54054000
   136      2637512       815750     50600738     54054000
   137      2331247      1686686     50036067     54054000
   138      3401337      1626502     49026161     54054000
   139      4680016      3306503     46067481     54054000
   140      5321483      3710961     45021556     54054000
   141      5193897      3187440     45672663     54054000
   142      2520127      2175413     49358460     54054000
   143      3835282      2609077     47609641     54054000
   144      2042255      2980184     49031561     54054000
   145      2744608      3633442     47675950     54054000
   146      2847914      2750863     48455223     54054000
   147      4519475      4728796     44805729     54054000
   148      1779803      7146659     45127538     54054000
   149      2335538      7401638     44316824     54054000
   150      3384564      9016580     41652856     54054000
   151      2212660      7691843     44149497     54054000
   152      3695649      7666628     42691723     54054000
   153      4011522      8201410     41841068     54054000
   154      2049680      5812819     46191501     54054000
   155      1687386      2202745     50163869     54054000
   156      1385437      3309839     49358724     54054000
   157      1631093      1995419     50427488     54054000
   158      2309120      3985680     47759200     54054000
   159      2055464      3539795     48458741     54054000
   160      1972553      1195516     50885931     54054000
   161      1851944      1731430     50470626     54054000
   162      3332271      3660574     47061155     54054000
   163      3750123      4392830     45911047     54054000
   164      2846826      3342053     47865121     54054000
   165      1896414      1496439     50661147     54054000
   166      2620776      1143942     50289282     54054000
   167      2839301      1490359     49724340     54054000
