 Chunk         Ties       Losses         Wins        Total
     0      2516415      1727713     49809872     54054000
     1      1570395       726651     51756954     54054000
     2      1944511      1853139     50256350     54054000
     3      2237836      4320281     47495883     54054000
     4      1826198      1533629     50694173     54054000
     5      2424868      1722153     49906979     54054000
     6      1889557       604565     51559878     54054000
     7      2230125      3106549     48717326     54054000
     8      3728775      3370176     46955049     54054000
     9      3936675      2887948     47229377     54054000
    10      2451316      3847864     47754820     54054000
    11      2112387      1345333     50596280     54054000
    12      2046245      1144193     50863562     54054000
    13      2768062       994506     50291432     54054000
    14      3029688      1353441     49670871     54054000
    15      1761466      1049505     51243029     54054000
    16      1992489      1824760     50236751     54054000
    17      2284280      1253643     50516077     54054000
    18      3732143      2701356     47620501     54054000
    19      4191565      1965934     47896501     54054000
    20      4845864      3394014     45814122     54054000
    21      6732894      2757124     44563982     54054000
    22      5163198      3060585     45830217     54054000
    23      3691853      2887822     47474325     54054000
    24      4573127      1950795     47530078     54054000
    25      4617900      2799777     46636323     54054000
    26      2319746      1711073     50023181     54054000
    27      2477818       948497     50627685     54054000
    28      2068315      1197382     50788303     54054000
    29      2944112      1001313     50108575     54054000
    30      2638642       827601     50587757     54054000
    31      2174118       693488     51186394     54054000
    32      5503917      1047551     47502532     54054000
    33      3601134       944654     49508212     54054000
    34      2464775       893687     50695538     54054000
    35      2110125      2123342     49820533     54054000
    36      2050624      1077316     50926060     54054000
    37      3357746      2181782     48514472     54054000
    38      3033223      1907490     49113287     54054000
    39      2180656       661940     51211404     54054000
    40      2480100      1146468     50427432     54054000
    41      4540552      1726731     47786717     54054000
    42      5262089      2143480     46648431     54054000
    43      3989353      1367832     48696815     54054000
    44      4650119      1809205     47594676     54054000
    45      4799152      3304751     45950097     54054000
    46      6670011      2653126     44730863     54054000
    47      5648470      2440947     45964583     54054000
    48      5881692      1622872     46549436     54054000
    49     10364933      2952669     40736398     54054000
    50      8957948      2794658     42301394     54054000
    51      4057557      1543658     48452785     54054000
    52      3898992      2658659     47496349     54054000
    53      5638663      2826838     45588499     54054000
    54      3957737      1311296     48784967     54054000
    55      4027276      1345573     48681151     54054000
    56      9971225      2885155     41197620     54054000
    57      5394289      1715397     46944314     54054000
    58      1896206      1011266     51146528     54054000
    59      2985538      1093154     49975308     54054000
    60      4337908      1460550     48255542     54054000
    61      2773050      1011497     50269453     54054000
    62      2163529      1736798     50153673     54054000
    63      3037225      1692770     49324005     54054000
    64      2710682      1278378     50064940     54054000
    65      2354195      1006001     50693804     54054000
    66      5317233      1939968     46796799     54054000
    67      3653833      1653285     48746882     54054000
    68      2930694       372558     50750748     54054000
    69      2676599      1009223     50368178     54054000
    70      3791667       834420     49427913     54054000
    71      5653204      1849686     46551110     54054000
    72      6497973      2008724     45547303     54054000
    73      5995124      1647463     46411413     54054000
    74      3380690      1434149     49239161     54054000
    75      1877029      1088892     51088079     54054000
    76      1957411      3074339     49022250     54054000
    77      1978492      1040681     51034827     54054000
    78      3679847      2974366     47399787     54054000
    79      2529583      2133508     49390909     54054000
    80      2776835      1048728     50228437     54054000
    81      2393354      1651631     50009015     54054000
    82      5263623      2648645     46141732     54054000
    83      4542140      2543428     46968432     54054000
    84      3773473      2032401     48248126     54054000
    85      2586116       760885     50706999     54054000
    86      3607648       681446     49764906     54054000
    87      2732192      1231543     50090265     54054000
    88      3280337      1487974     49285689     54054000
    89      4692564      2010251     47351185     54054000
    90      6314998      2637479     45101523     54054000
    91      8055877      2753115     43245008     54054000
    92      4354687      2459663     47239650     54054000
    93      6389207      2013353     45651440     54054000
    94      2886433      1282026     49885541     54054000
    95      3940004      3508837     46605159     54054000
    96      3790107      5302374     44961519     54054000
    97      4592738      4857296     44603966     54054000
    98      4381579      3867829     45804592     54054000
