 Chunk         Ties       Losses         Wins        Total
     0      4146068      1074557     48833375     54054000
     1      2483531       409533     51160936     54054000
     2      3466701      1212959     49374340     54054000
     3      4534901      3159819     46359280     54054000
     4      3068513      1270864     49714623     54054000
     5      4225154      1232874     48595972     54054000
     6      2721461       401371     50931168     54054000
     7      5343368      2196992     46513640     54054000
     8      7202934      1920124     44930942     54054000
     9      6787454      1497333     45769213     54054000
    10      5013014      2311129     46729857     54054000
    11      3742873       892770     49418357     54054000
    12      3791414       916645     49345941     54054000
    13      5604485       670583     47778932     54054000
    14      4929214       860152     48264634     54054000
    15      3009097       759224     50285679     54054000
    16      3783667      1439226     48831107     54054000
    17      4774038       916735     48363227     54054000
    18      7054992      1628114     45370894     54054000
    19      6342046       994633     46717321     54054000
    20      7558305      2219680     44276015     54054000
    21     10154141      1485392     42414467     54054000
    22      8241247      1397093     44415660     54054000
    23      6389533      1809420     45855047     54054000
    24      7595050      1122455     45336495     54054000
    25      7901469      1289149     44863382     54054000
    26      4257111       844220     48952669     54054000
    27      4204569       454014     49395417     54054000
    28      3758932       941349     49353719     54054000
    29      5621974       665190     47766836     54054000
    30      4841680       502238     48710082     54054000
    31      4472934       521049     49060017     54054000
    32      8240792       619660     45193548     54054000
    33      6236559       544882     47272559     54054000
    34      3821497       582623     49649880     54054000
    35      3845964      1574691     48633345     54054000
    36      3481267       874180     49698553     54054000
    37      6622240      1458734     45973026     54054000
    38      5325357      1095359     47633284     54054000
    39      4489739       519653     49044608     54054000
    40      4690870       895264     48467866     54054000
    41      7203435      1124459     45726106     54054000
    42      8454873      1236148     44362979     54054000
    43      6609187       726074     46718739     54054000
    44      6882240       884262     46287498     54054000
    45      7500837      2197248     44355915     54054000
    46     10130470      1440514     42483016     54054000
    47      8713035      1297746     44043219     54054000
    48      8707399      1067107     44279494     54054000
    49     14435485      1363717     38254798     54054000
    50     12778800      1233095     40042105     54054000
    51      6277990       743443     47032567     54054000
    52      6709991      1824161     45519848     54054000
    53     10026136      1550392     42477472     54054000
    54      7009886       684754     46359360     54054000
    55      6875604       905039     46273357     54054000
    56     14102465      1377682     38573853     54054000
    57      8635393       726351     44692256     54054000
    58      3192585       543714     50317701     54054000
    59      5158903       473617     48421480     54054000
    60      6656757       584636     46812607     54054000
    61      4567428       452050     49034522     54054000
    62      4082399      1116626     48854975     54054000
    63      5718306       852621     47483073     54054000
    64      5090044       611758     48352198     54054000
    65      4697774       598743     48757483     54054000
    66      8333787       820051     44900162     54054000
    67      6574467       666346     46813187     54054000
    68      5116346       174868     48762786     54054000
    69      4963043       613755     48477202     54054000
    70      6572859       447168     47033973     54054000
    71      8796638       796459     44460903     54054000
    72     10051366       786466     43216168     54054000
    73      9793739       596478     43663783     54054000
    74      5658264       591772     47803964     54054000
    75      3099576       604442     50349982     54054000
    76      3978806      2220387     47854807     54054000
    77      3498524       707810     49847666     54054000
    78      6993236      1713273     45347491     54054000
    79      4688153      1215173     48150674     54054000
    80      5166498       725277     48162225     54054000
    81      4776707      1108057     48169236     54054000
    82      8309279      1510782     44233939     54054000
    83      7456451      1329890     45267659     54054000
    84      6560144       939758     46554098     54054000
    85      4601462       561229     48891309     54054000
    86      6139426       454811     47459763     54054000
    87      4659507       851482     48543011     54054000
    88      5975656       927353     47150991     54054000
    89      7348302      1058080     45647618     54054000
    90      9725365      1500667     42827968     54054000
    91     11687500      1271164     41095336     54054000
    92      7588218      1319242     45146540     54054000
    93     10112377       945877     42995746     54054000
    94      4842295       548599     48663106     54054000
    95      7127193      1810118     45116689     54054000
    96      7421920      3422783     43209297     54054000
    97      9048716      2620350     42384934     54054000
    98      8241779      2068051     43744170     54054000
    99      7913515      1844175     44296310     54054000
   100     11743452      2535348     39775200     54054000
   101     11095543      2156962     40801495     54054000
   102      8058998      1115926     44879076     54054000
   103      8656418      1397665     43999917     54054000
   104      8170115      1872970     44010915     54054000
   105     10662313      2145918     41245769     54054000
   106     14666642      2641726     36745632     54054000
   107     15187760      2086021     36780219     54054000
   108      9673525      1520272     42860203     54054000
   109      6843765      2300557     44909678     54054000
   110      7735952      2149694     44168354     54054000
   111     11223054      2918144     39912802     54054000
   112      8967025      1230734     43856241     54054000
   113      8585257      1706973     43761770     54054000
   114     14949017      2587043     36517940     54054000
   115      9595610      1280650     43177740     54054000
   116     10782605       839059     42432336     54054000
