 Chunk         Ties       Losses         Wins        Total
     0      1807442      1962616     50283942     54054000
     1      1170454       881631     52001915     54054000
     2      1376814      2096028     50581158     54054000
     3      1613643      4687900     47752457     54054000
     4      1362141      1655986     51035873     54054000
     5      1790322      1939933     50323745     54054000
     6      1423089       736010     51894901     54054000
     7      1605417      3411895     49036688     54054000
     8      2693040      4001040     47359920     54054000
     9      2884148      3554822     47615030     54054000
    10      1672353      4331803     48049844     54054000
    11      1566982      1457500     51029518     54054000
    12      1521966      1246691     51285343     54054000
    13      2137359      1144348     50772293     54054000
    14      2266799      1552158     50235043     54054000
    15      1324514      1162483     51567003     54054000
    16      1464566      1979210     50610224     54054000
    17      1676057      1402470     50975473     54054000
    18      2760678      3163931     48129391     54054000
    19      3217021      2464574     48372405     54054000
    20      3799282      3978194     46276524     54054000
    21      5319837      3520389     45213774     54054000
    22      3877228      3918089     46258683     54054000
    23      2738912      3473063     47842025     54054000
    24      3551861      2499090     48003049     54054000
    25      3342687      3662005     47049308     54054000
    26      1651514      2179294     50223192     54054000
    27      1818407      1140477     51095116     54054000
    28      1543310      1304663     51206027     54054000
    29      2275853      1155702     50622445     54054000
    30      1956319       945164     51152517     54054000
    31      1587973       769492     51696535     54054000
    32      4471152      1317408     48265440     54054000
    33      2857326      1196209     50000465     54054000
    34      1827369      1024315     51202316     54054000
    35      1567511      2322980     50163509     54054000
    36      1521807      1150836     51381357     54054000
    37      2537705      2475105     49041190     54054000
    38      2274373      2211990     49567637     54054000
    39      1616913       723037     51714050     54054000
    40      1792823      1253436     51007741     54054000
    41      3622935      2030441     48400624     54054000
    42      4070565      2659051     47324384     54054000
    43      3065969      1758123     49229908     54054000
    44      3674763      2274250     48104987     54054000
    45      3786669      3837879     46429452     54054000
    46      5373549      3345685     45334766     54054000
    47      4462240      2977326     46614434     54054000
    48      4846898      1922317     47284785     54054000
    49      8508274      3995243     41550483     54054000
    50      7130596      3998279     42925125     54054000
    51      3124708      2056394     48872898     54054000
    52      2967978      3131128     47954894     54054000
    53      4312499      3626447     46115054     54054000
    54      3135270      1606739     49311991     54054000
    55      3154670      1629683     49269647     54054000
    56      8237534      4026320     41790146     54054000
    57      4067351      2559004     47427645     54054000
    58      1432186      1295761     51326053     54054000
    59      2270116      1513267     50270617     54054000
    60      3360010      2163880     48530110     54054000
    61      2032478      1335472     50686050     54054000
    62      1562198      1961547     50530255     54054000
    63      2234382      2053357     49766261     54054000
    64      1978811      1510032     50565157     54054000
    65      1724377      1166316     51163307     54054000
    66      4088514      2564643     47400843     54054000
    67      2758498      2157650     49137852     54054000
    68      2222853       484177     51346970     54054000
    69      1985234      1178293     50890473     54054000
    70      2887559      1081031     50085410     54054000
    71      4490406      2392153     47171441     54054000
    72      5165646      2755151     46133203     54054000
    73      4750151      2310312     46993537     54054000
    74      2534356      1898169     49621475     54054000
    75      1339757      1250489     51463754     54054000
    76      1406437      3320722     49326841     54054000
    77      1421487      1170476     51462037     54054000
    78      2712742      3451254     47890004     54054000
    79      1846700      2414209     49793091     54054000
    80      2066974      1163517     50823509     54054000
    81      1728730      1827080     50498190     54054000
    82      4063614      3160720     46829666     54054000
    83      3480472      3137150     47436378     54054000
    84      2831036      2610812     48612152     54054000
    85      1891730       864212     51298058     54054000
    86      2774140       813494     50466366     54054000
    87      2031352      1395918     50626730     54054000
    88      2418976      1698808     49936216     54054000
    89      3588546      2484651     47980803     54054000
    90      5074982      3187112     45791906     54054000
    91      6449450      3613456     43991094     54054000
    92      3350273      2996030     47707697     54054000
    93      5087868      2641153     46324979     54054000
    94      2195549      1682419     50176032     54054000
    95      2838179      4038070     47177751     54054000
    96      2740215      5766793     45546992     54054000
    97      3328690      5436949     45288361     54054000
    98      3169493      4356434     46528073     54054000
    99      3156291      3486790     47410919     54054000
   100      4957756      6015349     43080895     54054000
   101      4389026      5683477     43981497     54054000
   102      3242658      2167402     48643940     54054000
   103      3428548      2866849     47758603     54054000
   104      2812686      3460218     47781096     54054000
   105      4112392      4651984     45289624     54054000
   106      6328748      6620322     41104930     54054000
   107      6521721      5809847     41722432     54054000
   108      4229704      4470946     45353350     54054000
   109      2479979      4586956     46987065     54054000
   110      3045041      4074141     46934818     54054000
   111      4155589      6620966     43277445     54054000
   112      3669790      2534611     47849599     54054000
   113      3268277      3491255     47294468     54054000
   114      7279512      6680153     40094335     54054000
   115      4096236      3545693     46412071     54054000
   116      4856843      1952383     47244774     54054000
   117      2982758      3125874     47945368     54054000
   118      4224701      3437145     46392154     54054000
   119      6673303      5628310     41752387     54054000
   120     10245342      6567518     37241140     54054000
   121      5894346      4644676     43514978     54054000
   122      3122040      3111683     47820277     54054000
   123      2122816      3468012     48463172     54054000
   124      2165706      1898702     49989592     54054000
   125      3800265      3672522     46581213     54054000
   126      2618780      1672657     49762563     54054000
   127      3405931      3267758     47380311     54054000
   128      5387126      4198846     44468028     54054000
   129      2851476      2281133     48921391     54054000
   130      1715697      2516466     49821837     54054000
   131      2326883      2915959     48811158     54054000
   132      2228974      2101937     49723089     54054000
   133      2067348      1681470     50305182     54054000
   134      4257605      3755147     46041248     54054000
   135      2994981      3190992     47868027     54054000
   136      2629966       817684     50606350     54054000
   137      2324857      1688531     50040612     54054000
