 Chunk         Ties       Losses         Wins        Total
     0      1818790      1962472     50272738     54054000
     1      1174764       881484     51997752     54054000
     2      1383488      2094191     50576321     54054000
     3      1613925      4687772     47752303     54054000
     4      1366268      1655897     51031835     54054000
     5      1794953      1939731     50319316     54054000
     6      1428682       734919     51890399     54054000
     7      1605722      3411679     49036599     54054000
     8      2694860      3999384     47359756     54054000
     9      2885514      3553586     47614900     54054000
    10      1673296      4330941     48049763     54054000
    11      1570676      1457150     51026174     54054000
    12      1523166      1246610     51284224     54054000
    13      2137722      1144276     50772002     54054000
    14      2272511      1551919     50229570     54054000
    15      1327276      1162077     51564647     54054000
    16      1465992      1979208     50608800     54054000
    17      1679171      1402258     50972571     54054000
    18      2761520      3163307     48129173     54054000
    19      3217346      2464334     48372320     54054000
    20      3800267      3977245     46276488     54054000
    21      5325866      3514394     45213740     54054000
    22      3878874      3916721     46258405     54054000
    23      2739745      3472360     47841895     54054000
    24      3553665      2497363     48002972     54054000
    25      3346198      3658785     47049017     54054000
    26      1652173      2178644     50223183     54054000
    27      1820766      1139893     51093341     54054000
    28      1544316      1304597     51205087     54054000
    29      2276414      1155654     50621932     54054000
    30      1957234       945061     51151705     54054000
    31      1588856       769467     51695677     54054000
    32      4471436      1317205     48265359     54054000
    33      2857457      1196119     50000424     54054000
    34      1832697      1023395     51197908     54054000
    35      1569263      2322599     50162138     54054000
    36      1524227      1150520     51379253     54054000
    37      2538382      2475057     49040561     54054000
    38      2275140      2211950     49566910     54054000
    39      1617453       723037     51713510     54054000
    40      1795684      1253404     51004912     54054000
    41      3623345      2030321     48400334     54054000
    42      4070790      2658915     47324295     54054000
    43      3066222      1757952     49229826     54054000
    44      3675525      2273640     48104835     54054000
    45      3788609      3836151     46429240     54054000
    46      5376672      3342745     45334583     54054000
    47      4463060      2976624     46614316     54054000
    48      4847741      1922092     47284167     54054000
    49      8509507      3994251     41550242     54054000
    50      7133628      3995308     42925064     54054000
    51      3126102      2056040     48871858     54054000
    52      2968953      3130995     47954052     54054000
    53      4315130      3624150     46114720     54054000
    54      3136722      1606370     49310908     54054000
    55      3156618      1629676     49267706     54054000
    56      8241510      4023152     41789338     54054000
    57      4069166      2557226     47427608     54054000
    58      1432293      1295690     51326017     54054000
    59      2271242      1512165     50270593     54054000
    60      3361003      2162893     48530104     54054000
    61      2039588      1334644     50679768     54054000
    62      1565515      1961056     50527429     54054000
    63      2236953      2051986     49765061     54054000
    64      1982673      1509101     50562226     54054000
    65      1725827      1166216     51161957     54054000
    66      4092735      2560546     47400719     54054000
    67      2760706      2155523     49137771     54054000
    68      2226414       483777     51343809     54054000
    69      1987186      1178214     50888600     54054000
    70      2888304      1081002     50084694     54054000
    71      4491883      2390806     47171311     54054000
    72      5167008      2754087     46132905     54054000
    73      4753537      2307781     46992682     54054000
    74      2537977      1897130     49618893     54054000
    75      1344105      1250218     51459677     54054000
    76      1408361      3320168     49325471     54054000
    77      1424141      1170323     51459536     54054000
    78      2714334      3449978     47889688     54054000
    79      1848837      2413182     49791981     54054000
    80      2068789      1163504     50821707     54054000
    81      1729875      1826806     50497319     54054000
    82      4065027      3159457     46829516     54054000
    83      3482383      3135431     47436186     54054000
    84      2834417      2607531     48612052     54054000
    85      1893459       864212     51296329     54054000
    86      2774624       813478     50465898     54054000
    87      2034183      1395439     50624378     54054000
    88      2419877      1698801     49935322     54054000
    89      3589567      2483738     47980695     54054000
    90      5076272      3186069     45791659     54054000
    91      6451761      3611479     43990760     54054000
    92      3351853      2994755     47707392     54054000
    93      5089868      2639689     46324443     54054000
    94      2196620      1681417     50175963     54054000
    95      2842133      4036198     47175669     54054000
    96      2743150      5765859     45544991     54054000
    97      3332801      5434824     45286375     54054000
    98      3173215      4354800     46525985     54054000
    99      3160485      3486739     47406776     54054000
   100      4960507      6013278     43080215     54054000
   101      4392893      5679937     43981170     54054000
   102      3243462      2167297     48643241     54054000
   103      3431585      2866487     47755928     54054000
   104      2815665      3460182     47778153     54054000
   105      4114347      4651542     45288111     54054000
   106      6332251      6618613     41103136     54054000
   107      6526792      5808221     41718987     54054000
   108      4232245      4469054     45352701     54054000
   109      2486688      4585791     46981521     54054000
   110      3052234      4073362     46928404     54054000
   111      4158977      6618417     43276606     54054000
   112      3677086      2534491     47842423     54054000
   113      3275762      3491194     47287044     54054000
   114      7284382      6675507     40094111     54054000
   115      4098593      3543908     46411499     54054000
   116      4859736      1951986     47242278     54054000
   117      2991295      3125611     47937094     54054000
   118      4228713      3437060     46388227     54054000
   119      6676939      5626151     41750910     54054000
   120     10251994      6563563     37238443     54054000
   121      5902212      4639487     43512301     54054000
   122      3125438      3108536     47820026     54054000
   123      2124932      3466254     48462814     54054000
   124      2166522      1898659     49988819     54054000
   125      3803707      3669139     46581154     54054000
   126      2620136      1672409     49761455     54054000
   127      3407153      3267021     47379826     54054000
   128      5392065      4194068     44467867     54054000
   129      2859129      2278885     48915986     54054000
   130      1718330      2515797     49819873     54054000
   131      2329428      2914343     48810229     54054000
   132      2232566      2100767     49720667     54054000
   133      2069424      1681033     50303543     54054000
   134      4262370      3750476     46041154     54054000
   135      2997495      3188566     47867939     54054000
   136      2632001       817142     50604857     54054000
   137      2326553      1688085     50039362     54054000
   138      3395777      1628641     49029582     54054000
   139      4671740      3312204     46070056     54054000
   140      5310486      3719442     45024072     54054000
   141      5181678      3197013     45675309     54054000
   142      2512772      2181458     49359770     54054000
   143      3828728      2613450     47611822     54054000
   144      2037884      2983023     49033093     54054000
   145      2740345      3635830     47677825     54054000
   146      2844376      2752430     48457194     54054000
   147      4511446      4734718     44807836     54054000
   148      1774946      7150820     45128234     54054000
   149      2330484      7405390     44318126     54054000
   150      3377488      9021885     41654627     54054000
   151      2207336      7695536     44151128     54054000
   152      3688276      7672102     42693622     54054000
   153      4000803      8210738     41842459     54054000
   154      2044644      5817378     46191978     54054000
   155      1681259      2204104     50168637     54054000
   156      1380415      3312475     49361110     54054000
   157      1626386      1996605     50431009     54054000
   158      2301706      3991006     47761288     54054000
   159      2051395      3541650     48460955     54054000
   160      1969498      1196310     50888192     54054000
   161      1847203      1732232     50474565     54054000
   162      3327170      3663630     47063200     54054000
   163      3744800      4396524     45912676     54054000
   164      2842362      3345416     47866222     54054000
   165      1892433      1497381     50664186     54054000
   166      2617848      1144651     50291501     54054000
   167      2834939      1490984     49728077     54054000
   168      2225586      1957673     49870741     54054000
   169      3500404      2763116     47790480     54054000
   170      4422961      4346584     45284455     54054000
   171      6301104      3827577     43925319     54054000
   172      3151820      3424011     47478169     54054000
   173      4726615      3292383     46035002     54054000
   174      2811283      2708059     48534658     54054000
   175      2509810      2242616     49301574     54054000
   176      2665942      1680371     49707687     54054000
   177      3800615      1662401     48590984     54054000
   178      4782927      2026105     47244968     54054000
   179      3071574      2266939     48715487     54054000
   180      2518190      2706630     48829180     54054000
   181      3395244      2663413     47995343     54054000
   182      4552744      2757042     46744214     54054000
   183      3513901      4118963     46421136     54054000
   184      3921580      5971334     44161086     54054000
   185      5203628      5250975     43599397     54054000
   186      5223396      4132461     44698143     54054000
   187      5314128      6486304     42253568     54054000
   188      3890016      5771977     44392007     54054000
   189      5560410      4921390     43572200     54054000
   190      5288324      3998835     44766841     54054000
   191      6265779      5813136     41975085     54054000
   192      2428478      4207994     47417528     54054000
   193      3154058      4270576     46629366     54054000
   194       293393      1264125     52496482     54054000
   195       317090      1075154     52661756     54054000
   196       345043      1268503     52440454     54054000
   197       342557       782096     52929347     54054000
   198       356415       934596     52762989     54054000
   199       470182      1158704     52425114     54054000
   200       272509       662118     53119373     54054000
   201       330967       459353     53263680     54054000
   202       319562       968099     52766339     54054000
   203       378746       828060     52847194     54054000
   204       491585       925405     52637010     54054000
   205       435814      1012804     52605382     54054000
   206       350927       671557     53031516     54054000
   207       221208       508559     53324233     54054000
   208       277646       482698     53293656     54054000
   209       367814       487677     53198509     54054000
   210       199590       861098     52993312     54054000
   211       228509       705376     53120115     54054000
   212       218223       553845     53281932     54054000
   213       295885       660582     53097533     54054000
   214       416210       954631     52683159     54054000
   215       435556      1076281     52542163     54054000
   216       476770       963800     52613430     54054000
   217       453178       765501     52835321     54054000
   218       401503       680148     52972349     54054000
   219       460635       969013     52624352     54054000
   220       398633      1143051     52512316     54054000
   221       478635       956030     52619335     54054000
   222       523691      1108277     52422032     54054000
   223       491990       696360     52865650     54054000
   224       602247      1089592     52362161     54054000
   225       729991      1039986     52284023     54054000
   226       413592       521980     53118428     54054000
   227       516649       462475     53074876     54054000
   228       546535      1032879     52474586     54054000
   229       687233       794868     52571899     54054000
   230       744961      1022405     52286634     54054000
   231       804776       862891     52386333     54054000
   232       513091       576245     52964664     54054000
   233       394710       535909     53123381     54054000
   234       420157       390890     53242953     54054000
   235       538897       461576     53053527     54054000
   236       473132       955380     52625488     54054000
   237       587085       712117     52754798     54054000
   238       523338       502545     53028117     54054000
   239       745651       661036     52647313     54054000
   240       703432      1122692     52227876     54054000
   241       721660       849877     52482463     54054000
   242       669727       887891     52496382     54054000
   243       582398       783211     52688391     54054000
