 Chunk         Ties       Losses         Wins        Total
     0      1842539      1954406     50257055     54054000
     1      1188062       876030     51989908     54054000
     2      1401498      2084816     50567686     54054000
     3      1634783      4672636     47746581     54054000
     4      1382248      1653801     51017951     54054000
     5      1814250      1932071     50307679     54054000
     6      1443118       730576     51880306     54054000
     7      1619797      3403918     49030285     54054000
     8      2726987      3972127     47354886     54054000
     9      2909771      3539497     47604732     54054000
    10      1689176      4319660     48045164     54054000
    11      1587330      1454252     51012418     54054000
    12      1537841      1242956     51273203     54054000
    13      2153423      1139826     50760751     54054000
    14      2300091      1542021     50211888     54054000
    15      1345118      1152657     51556225     54054000
    16      1480276      1975682     50598042     54054000
    17      1697941      1394092     50961967     54054000
    18      2783482      3152131     48118387     54054000
    19      3237349      2452068     48364583     54054000
    20      3822522      3961452     46270026     54054000
    21      5359510      3491684     45202806     54054000
    22      3902781      3902537     46248682     54054000
    23      2759115      3461000     47833885     54054000
    24      3578498      2485117     47990385     54054000
    25      3375871      3636472     47041657     54054000
    26      1666451      2169714     50217835     54054000
    27      1837524      1135874     51080602     54054000
    28      1559695      1300987     51193318     54054000
    29      2292158      1151806     50610036     54054000
    30      1974794       942097     51137109     54054000
    31      1601086       768221     51684693     54054000
    32      4493490      1310339     48250171     54054000
    33      2874349      1190711     49988940     54054000
    34      1854738      1020850     51178412     54054000
    35      1585422      2317233     50151345     54054000
    36      1541341      1148823     51363836     54054000
    37      2553894      2470277     49029829     54054000
    38      2293521      2206941     49553538     54054000
    39      1632068       722060     51699872     54054000
    40      1817396      1252057     50984547     54054000
    41      3640100      2021965     48391935     54054000
    42      4092268      2648907     47312825     54054000
    43      3086442      1747614     49219944     54054000
    44      3707905      2253012     48093083     54054000
    45      3816480      3816625     46420895     54054000
    46      5413554      3319747     45320699     54054000
    47      4487934      2962757     46603309     54054000
    48      4885717      1900537     47267746     54054000
    49      8550833      3966900     41536267     54054000
    50      7170482      3967716     42915802     54054000
    51      3156168      2038487     48859345     54054000
    52      2995064      3116489     47942447     54054000
    53      4354402      3594383     46105215     54054000
    54      3153891      1598082     49302027     54054000
    55      3182825      1616835     49254340     54054000
    56      8289235      3984048     41780717     54054000
    57      4103138      2534720     47416142     54054000
    58      1447263      1285788     51320949     54054000
    59      2292125      1495880     50265995     54054000
    60      3388252      2139782     48525966     54054000
    61      2062499      1324604     50666897     54054000
    62      1583023      1954113     50516864     54054000
    63      2254281      2042802     49756917     54054000
    64      2001355      1501671     50550974     54054000
    65      1740406      1160637     51152957     54054000
    66      4117782      2546295     47389923     54054000
    67      2783033      2143685     49127282     54054000
    68      2244120       481402     51328478     54054000
    69      2003940      1174603     50875457     54054000
    70      2908514      1074540     50070946     54054000
    71      4521886      2375105     47157009     54054000
    72      5206271      2730069     46117660     54054000
    73      4790958      2281722     46981320     54054000
    74      2564424      1880044     49609532     54054000
    75      1359028      1246328     51448644     54054000
    76      1422304      3314377     49317319     54054000
    77      1438040      1167481     51448479     54054000
    78      2737380      3436346     47880274     54054000
    79      1868251      2403786     49781963     54054000
    80      2088099      1160158     50805743     54054000
    81      1747475      1820691     50485834     54054000
    82      4086079      3149797     46818124     54054000
    83      3506234      3122822     47424944     54054000
    84      2856464      2592611     48604925     54054000
    85      1909514       862619     51281867     54054000
    86      2794257       810880     50448863     54054000
    87      2054339      1392116     50607545     54054000
    88      2440240      1695165     49918595     54054000
    89      3622659      2462593     47968748     54054000
    90      5105411      3169942     45778647     54054000
    91      6489543      3589048     43975409     54054000
    92      3378713      2978119     47697168     54054000
    93      5119822      2622572     46311606     54054000
    94      2214572      1668300     50171128     54054000
    95      2864260      4021590     47168150     54054000
    96      2764350      5753071     45536579     54054000
    97      3362245      5417977     45273778     54054000
    98      3196458      4343564     46513978     54054000
    99      3192611      3476427     47384962     54054000
   100      4994157      5992222     43067621     54054000
   101      4425366      5657040     43971594     54054000
   102      3268048      2160509     48625443     54054000
   103      3454901      2859353     47739746     54054000
   104      2839780      3454568     47759652     54054000
   105      4143988      4639729     45270283     54054000
   106      6378553      6594585     41080862     54054000
   107      6575793      5781958     41696249     54054000
   108      4262637      4449104     45342259     54054000
   109      2512367      4572380     46969253     54054000
   110      3079522      4063786     46910692     54054000
   111      4195230      6591582     43267188     54054000
   112      3704233      2526548     47823219     54054000
   113      3309235      3478293     47266472     54054000
   114      7336093      6638912     40078995     54054000
   115      4130997      3526214     46396789     54054000
   116      4890488      1944233     47219279     54054000
   117      3024472      3118627     47910901     54054000
   118      4263578      3427322     46363100     54054000
   119      6720026      5602031     41731943     54054000
   120     10321314      6525280     37207406     54054000
   121      5948482      4615142     43490376     54054000
   122      3151374      3092388     47810238     54054000
   123      2142404      3454103     48457493     54054000
   124      2181385      1890778     49981837     54054000
   125      3828627      3649889     46575484     54054000
   126      2638187      1667191     49748622     54054000
   127      3430550      3253721     47369729     54054000
