 Chunk         Ties       Losses         Wins        Total
     0      1831588      1959969     50262443     54054000
     1      1181360       880166     51992474     54054000
     2      1392628      2091269     50570103     54054000
     3      1630814      4674597     47748589     54054000
     4      1375655      1654813     51023532     54054000
     5      1806411      1935217     50312372     54054000
     6      1436622       733722     51883656     54054000
     7      1615188      3406281     49032531     54054000
     8      2717463      3980064     47356473     54054000
     9      2900338      3545711     47607951     54054000
    10      1685518      4321842     48046640     54054000
    11      1582294      1455698     51016008     54054000
    12      1534648      1243379     51275973     54054000
    13      2149683      1140380     50763937     54054000
    14      2289942      1548206     50215852     54054000
    15      1338318      1157767     51557915     54054000
    16      1476571      1976913     50600516     54054000
    17      1689748      1399871     50964381     54054000
    18      2776215      3156751     48121034     54054000
    19      3230331      2456565     48367104     54054000
    20      3814087      3967425     46272488     54054000
    21      5348726      3500263     45205011     54054000
    22      3893207      3907362     46253431     54054000
    23      2751457      3464707     47837836     54054000
    24      3568289      2490208     47995503     54054000
    25      3364121      3644772     47045107     54054000
    26      1660331      2172812     50220857     54054000
    27      1831552      1137173     51085275     54054000
    28      1554821      1301727     51197452     54054000
    29      2288065      1152463     50613472     54054000
    30      1971000       943096     51139904     54054000
    31      1597628       768640     51687732     54054000
    32      4487038      1311655     48255307     54054000
    33      2867933      1192252     49993815     54054000
    34      1849564      1021395     51183041     54054000
    35      1581812      2319102     50153086     54054000
    36      1536763      1149566     51367671     54054000
    37      2550476      2471211     49032313     54054000
    38      2289359      2208175     49556466     54054000
    39      1628923       722450     51702627     54054000
    40      1813750      1252367     50987883     54054000
    41      3635769      2024662     48393569     54054000
    42      4085874      2652119     47316007     54054000
    43      3079341      1751410     49223249     54054000
    44      3689821      2265737     48098442     54054000
    45      3805956      3823717     46424327     54054000
    46      5399152      3329285     45325563     54054000
    47      4477375      2968946     46607679     54054000
    48      4868833      1911343     47273824     54054000
    49      8541060      3974150     41538790     54054000
    50      7158360      3977604     42918036     54054000
    51      3138879      2050065     48865056     54054000
    52      2985092      3121985     47946923     54054000
    53      4341379      3604510     46108111     54054000
    54      3148805      1600730     49304465     54054000
    55      3170505      1624048     49259447     54054000
    56      8272394      3998332     41783274     54054000
    57      4093240      2542017     47418743     54054000
    58      1440449      1290333     51323218     54054000
    59      2284888      1501602     50267510     54054000
    60      3378898      2148219     48526883     54054000
    61      2052855      1329250     50671895     54054000
    62      1575830      1957116     50521054     54054000
    63      2248865      2045424     49759711     54054000
    64      1994557      1505205     50554238     54054000
    65      1734894      1163533     51155573     54054000
    66      4109072      2550942     47393986     54054000
    67      2773732      2147427     49132841     54054000
    68      2238301       481681     51334018     54054000
    69      1999457      1175872     50878671     54054000
    70      2903501      1076103     50074396     54054000
    71      4509724      2382038     47162238     54054000
    72      5191708      2738759     46123533     54054000
    73      4777299      2291210     46985491     54054000
    74      2554131      1887030     49612839     54054000
    75      1353840      1248489     51451671     54054000
    76      1418690      3315820     49319490     54054000
    77      1433805      1168819     51451376     54054000
    78      2730671      3440334     47882995     54054000
    79      1861628      2407763     49784609     54054000
    80      2083246      1161314     50809440     54054000
    81      1743144      1822882     50487974     54054000
    82      4078869      3153982     46821149     54054000
    83      3496621      3127045     47430334     54054000
    84      2847404      2598697     48607899     54054000
    85      1905101       862939     51285960     54054000
    86      2789248       811657     50453095     54054000
    87      2049756      1392857     50611387     54054000
    88      2436441      1695912     49921647     54054000
    89      3608328      2473126     47972546     54054000
    90      5096177      3175020     45782803     54054000
    91      6476480      3597193     43980327     54054000
    92      3370585      2983605     47699810     54054000
    93      5110421      2628711     46314868     54054000
    94      2208240      1673219     50172541     54054000
    95      2857295      4026640     47170065     54054000
    96      2757801      5757417     45538782     54054000
    97      3352411      5423968     45277621     54054000
    98      3189398      4347234     46517368     54054000
    99      3182413      3481862     47389725     54054000
   100      4983825      5999666     43070509     54054000
   101      4415529      5662854     43975617     54054000
   102      3260117      2162816     48631067     54054000
   103      3449119      2861330     47743551     54054000
   104      2832754      3456098     47765148     54054000
   105      4134621      4643394     45275985     54054000
   106      6362360      6603760     41087880     54054000
   107      6559355      5790626     41704019     54054000
   108      4253317      4455250     45345433     54054000
   109      2501784      4578654     46973562     54054000
   110      3069360      4067106     46917534     54054000
   111      4182200      6601807     43269993     54054000
   112      3694720      2529934     47829346     54054000
   113      3297225      3484442     47272333     54054000
   114      7318508      6650555     40084937     54054000
   115      4118960      3531746     46403294     54054000
   116      4878840      1947178     47227982     54054000
   117      3014130      3120708     47919162     54054000
   118      4255405      3429409     46369186     54054000
   119      6706092      5608860     41739048     54054000
   120     10297432      6537629     37218939     54054000
   121      5930210      4622119     43501671     54054000
   122      3141643      3097865     47814492     54054000
   123      2136630      3458340     48459030     54054000
   124      2176221      1894107     49983672     54054000
   125      3821790      3654847     46577363     54054000
   126      2634026      1668562     49751412     54054000
   127      3424206      3257495     47372299     54054000
   128      5416126      4176903     44460971     54054000
   129      2875291      2270968     48907741     54054000
   130      1729774      2510083     49814143     54054000
   131      2344729      2904022     48805249     54054000
   132      2248504      2093855     49711641     54054000
   133      2081413      1676278     50296309     54054000
   134      4281219      3736865     46035916     54054000
   135      3013370      3177036     47863594     54054000
   136      2646171       813537     50594292     54054000
   137      2339621      1684510     50029869     54054000
   138      3411917      1622266     49019817     54054000
   139      4692651      3298237     46063112     54054000
   140      5337537      3699310     45017153     54054000
   141      5210947      3174726     45668327     54054000
   142      2530208      2167428     49356364     54054000
   143      3846707      2602153     47605140     54054000
   144      2050240      2975452     49028308     54054000
   145      2755127      3626873     47672000     54054000
   146      2857689      2745766     48450545     54054000
   147      4535182      4716937     44801881     54054000
   148      1788093      7139743     45126164     54054000
   149      2350253      7388971     44314776     54054000
   150      3401908      9002057     41650035     54054000
   151      2222722      7683526     44147752     54054000
   152      3711371      7655051     42687578     54054000
   153      4029165      8186925     41837910     54054000
   154      2058379      5805496     46190125     54054000
   155      1693079      2200151     50160770     54054000
   156      1390007      3307594     49356399     54054000
   157      1636357      1993696     50423947     54054000
   158      2317105      3980934     47755961     54054000
   159      2065437      3534001     48454562     54054000
   160      1979751      1194311     50879938     54054000
   161      1857618      1729768     50466614     54054000
   162      3342247      3654915     47056838     54054000
   163      3760682      4385894     45907424     54054000
   164      2857566      3334435     47861999     54054000
   165      1903272      1493953     50656775     54054000
   166      2631356      1141992     50280652     54054000
   167      2848048      1487218     49718734     54054000
   168      2239477      1954982     49859541     54054000
   169      3517766      2753950     47782284     54054000
   170      4443345      4333322     45277333     54054000
   171      6323457      3813776     43916767     54054000
   172      3166833      3415148     47472019     54054000
   173      4746463      3278917     46028620     54054000
   174      2829572      2693651     48530777     54054000
   175      2524664      2233431     49295905     54054000
   176      2678387      1676674     49698939     54054000
   177      3816287      1656280     48581433     54054000
