 Chunk         Ties       Losses         Wins        Total
     0      1821705      1962248     50270047     54054000
     1      1175796       881356     51996848     54054000
     2      1385338      2093847     50574815     54054000
     3      1615239      4686757     47752004     54054000
     4      1367243      1655705     51031052     54054000
     5      1796600      1939396     50318004     54054000
     6      1430080       734755     51889165     54054000
     7      1606465      3411267     49036268     54054000
     8      2695785      3998808     47359407     54054000
     9      2886905      3552876     47614219     54054000
    10      1674535      4329925     48049540     54054000
    11      1572498      1456846     51024656     54054000
    12      1524294      1246410     51283296     54054000
    13      2138326      1144068     50771606     54054000
    14      2275648      1551414     50226938     54054000
    15      1329513      1161049     51563438     54054000
    16      1467701      1978737     50607562     54054000
    17      1680799      1402010     50971191     54054000
    18      2762966      3162956     48128078     54054000
    19      3218818      2463881     48371301     54054000
    20      3802150      3975803     46276047     54054000
    21      5328360      3513017     45212623     54054000
    22      3880571      3915596     46257833     54054000
    23      2741034      3471737     47841229     54054000
    24      3555356      2496423     48002221     54054000
    25      3347844      3657567     47048589     54054000
    26      1652813      2178330     50222857     54054000
    27      1822795      1139602     51091603     54054000
    28      1545105      1304417     51204478     54054000
    29      2277230      1155256     50621514     54054000
    30      1958115       944934     51150951     54054000
    31      1590083       769282     51694635     54054000
    32      4472844      1316318     48264838     54054000
    33      2858260      1195621     50000119     54054000
    34      1837224      1023124     51193652     54054000
    35      1571520      2322100     50160380     54054000
    36      1527216      1150373     51376411     54054000
    37      2539718      2474400     49039882     54054000
    38      2276710      2211494     49565796     54054000
    39      1618646       722902     51712452     54054000
    40      1800032      1253203     51000765     54054000
    41      3624253      2029878     48399869     54054000
    42      4072171      2658273     47323556     54054000
    43      3067442      1757244     49229314     54054000
    44      3678719      2271587     48103694     54054000
    45      3790756      3834707     46428537     54054000
    46      5379220      3341521     45333259     54054000
    47      4464795      2975766     46613439     54054000
    48      4854247      1917409     47282344     54054000
    49      8512807      3993448     41547745     54054000
    50      7136341      3992830     42924829     54054000
    51      3128169      2055667     48870164     54054000
    52      2970789      3130311     47952900     54054000
    53      4317358      3622929     46113713     54054000
    54      3137368      1606064     49310568     54054000
    55      3158591      1629125     49266284     54054000
    56      8244254      4020854     41788892     54054000
    57      4072352      2556503     47425145     54054000
    58      1433223      1295380     51325397     54054000
    59      2271945      1511783     50270272     54054000
    60      3362695      2162145     48529160     54054000
    61      2041276      1334316     50678408     54054000
    62      1566693      1960636     50526671     54054000
    63      2237866      2051762     49764372     54054000
    64      1983961      1508680     50561359     54054000
    65      1727024      1165920     51161056     54054000
    66      4094648      2559771     47399581     54054000
    67      2761586      2154968     49137446     54054000
    68      2228493       483690     51341817     54054000
    69      1989724      1178008     50886268     54054000
    70      2890508      1080661     50082831     54054000
    71      4494126      2389768     47170106     54054000
    72      5169611      2752869     46131520     54054000
    73      4755171      2307042     46991787     54054000
    74      2539193      1896823     49617984     54054000
    75      1345882      1250040     51458078     54054000
    76      1409674      3319719     49324607     54054000
    77      1425729      1170200     51458071     54054000
    78      2715616      3449405     47888979     54054000
    79      1850289      2412485     49791226     54054000
    80      2070271      1163173     50820556     54054000
    81      1732633      1826273     50495094     54054000
    82      4066480      3158878     46828642     54054000
    83      3483557      3134866     47435577     54054000
    84      2835870      2606582     48611548     54054000
    85      1895172       864129     51294699     54054000
    86      2775858       813239     50464903     54054000
    87      2037961      1395161     50620878     54054000
    88      2423233      1698344     49932423     54054000
    89      3592934      2481017     47980049     54054000
    90      5078657      3184709     45790634     54054000
    91      6455137      3610169     43988694     54054000
    92      3354385      2993770     47705845     54054000
    93      5091625      2639074     46323301     54054000
    94      2197635      1680930     50175435     54054000
    95      2843754      4035231     47175015     54054000
    96      2744894      5764662     45544444     54054000
    97      3334552      5433782     45285666     54054000
    98      3174974      4353729     46525297     54054000
    99      3167150      3485905     47400945     54054000
   100      4962856      6012212     43078932     54054000
   101      4395154      5678166     43980680     54054000
   102      3245687      2166330     48641983     54054000
   103      3433732      2865929     47754339     54054000
   104      2817681      3459708     47776611     54054000
   105      4118455      4650712     45284833     54054000
   106      6336027      6616143     41101830     54054000
   107      6529813      5806176     41718011     54054000
   108      4234917      4467009     45352074     54054000
   109      2488225      4584908     46980867     54054000
   110      3053899      4072337     46927764     54054000
   111      4161786      6616104     43276110     54054000
   112      3679457      2533869     47840674     54054000
   113      3278877      3490760     47284363     54054000
   114      7288847      6671849     40093304     54054000
   115      4100652      3542611     46410737     54054000
   116      4862434      1951291     47240275     54054000
   117      2992898      3124965     47936137     54054000
   118      4233211      3436286     46384503     54054000
   119      6680212      5623475     41750313     54054000
   120     10256392      6559937     37237671     54054000
   121      5905635      4637315     43511050     54054000
   122      3127504      3107429     47819067     54054000
   123      2126449      3465269     48462282     54054000
   124      2167692      1898259     49988049     54054000
   125      3806098      3667390     46580512     54054000
   126      2622621      1671955     49759424     54054000
   127      3409301      3265789     47378910     54054000
   128      5393993      4192551     44467456     54054000
   129      2861353      2278330     48914317     54054000
   130      1719487      2515286     49819227     54054000
   131      2330401      2913821     48809778     54054000
   132      2234459      2100023     49719518     54054000
   133      2071181      1680370     50302449     54054000
   134      4264386      3749198     46040416     54054000
   135      2998925      3187627     47867448     54054000
   136      2634634       816868     50602498     54054000
   137      2329331      1687251     50037418     54054000
   138      3398536      1627484     49027980     54054000
   139      4674841      3310604     46068555     54054000
   140      5313500      3717560     45022940     54054000
   141      5184381      3195267     45674352     54054000
   142      2514101      2180668     49359231     54054000
   143      3830574      2612602     47610824     54054000
   144      2039084      2982462     49032454     54054000
   145      2741850      3635259     47676891     54054000
   146      2845603      2752056     48456341     54054000
   147      4514163      4732718     44807119     54054000
   148      1776215      7149688     45128097     54054000
   149      2332443      7403825     44317732     54054000
   150      3380290      9019600     41654110     54054000
   151      2208899      7694308     44150793     54054000
   152      3691115      7669582     42693303     54054000
   153      4004415      8207633     41841952     54054000
   154      2046570      5815620     46191810     54054000
   155      1683519      2203765     50166716     54054000
   156      1381703      3311971     49360326     54054000
   157      1628007      1996191     50429802     54054000
   158      2303162      3990554     47760284     54054000
   159      2053036      3540699     48460265     54054000
   160      1970199      1196125     50887676     54054000
   161      1849477      1731652     50472871     54054000
   162      3329376      3662849     47061775     54054000
   163      3746951      4395016     45912033     54054000
   164      2843687      3344476     47865837     54054000
   165      1894020      1497081     50662899     54054000
   166      2619013      1144216     50290771     54054000
   167      2837095      1490708     49726197     54054000
   168      2227534      1957343     49869123     54054000
   169      3502641      2761868     47789491     54054000
   170      4426066      4344609     45283325     54054000
   171      6303952      3825797     43924251     54054000
   172      3153699      3423318     47476983     54054000
   173      4728619      3290882     46034499     54054000
   174      2813810      2706194     48533996     54054000
   175      2511818      2241512     49300670     54054000
   176      2667238      1680120     49706642     54054000
   177      3802585      1661778     48589637     54054000
   178      4784864      2025463     47243673     54054000
   179      3073447      2266141     48714412     54054000
   180      2519597      2706209     48828194     54054000
   181      3396787      2663025     47994188     54054000
   182      4554155      2756643     46743202     54054000
   183      3515427      4117916     46420657     54054000
   184      3923118      5970089     44160793     54054000
   185      5205007      5250065     43598928     54054000
   186      5225132      4131021     44697847     54054000
   187      5318526      6482391     42253083     54054000
   188      3893746      5768800     44391454     54054000
   189      5566127      4916258     43571615     54054000
   190      5292132      3995601     44766267     54054000
   191      6274433      5805313     41974254     54054000
   192      2430781      4206004     47417215     54054000
   193      3156262      4268716     46629022     54054000
   194       293676      1264097     52496227     54054000
   195       317436      1075015     52661549     54054000
   196       345244      1268373     52440383     54054000
   197       343092       782024     52928884     54054000
   198       356915       934437     52762648     54054000
   199       470317      1158645     52425038     54054000
   200       272644       662057     53119299     54054000
   201       331087       459330     53263583     54054000
   202       321074       968014     52764912     54054000
   203       380423       827934     52845643     54054000
   204       492093       925196     52636711     54054000
   205       437285      1012423     52604292     54054000
   206       351194       671522     53031284     54054000
   207       221746       508527     53323727     54054000
   208       278183       482662     53293155     54054000
   209       369511       487658     53196831     54054000
   210       199762       861037     52993201     54054000
   211       228700       705270     53120030     54054000
   212       218643       553834     53281523     54054000
   213       297673       660422     53095905     54054000
   214       417558       954618     52681824     54054000
   215       436339      1076270     52541391     54054000
   216       477921       963730     52612349     54054000
   217       454378       765469     52834153     54054000
   218       401801       680119     52972080     54054000
   219       461662       968924     52623414     54054000
   220       399383      1142949     52511668     54054000
   221       479545       955946     52618509     54054000
   222       524046      1108200     52421754     54054000
   223       492983       696312     52864705     54054000
   224       602992      1089518     52361490     54054000
   225       730270      1039818     52283912     54054000
   226       414358       521874     53117768     54054000
   227       517243       462303     53074454     54054000
   228       548341      1032818     52472841     54054000
   229       689421       794739     52569840     54054000
   230       745293      1022193     52286514     54054000
   231       805563       862575     52385862     54054000
   232       513362       576218     52964420     54054000
   233       395069       535885     53123046     54054000
   234       420759       390871     53242370     54054000
   235       540469       461496     53052035     54054000
   236       474561       955313     52624126     54054000
   237       587884       712023     52754093     54054000
   238       525228       502477     53026295     54054000
   239       746900       660928     52646172     54054000
   240       704216      1122513     52227271     54054000
   241       725395       849743     52478862     54054000
   242       670481       887833     52495686     54054000
   243       583508       783155     52687337     54054000
   244       473801       500273     53079926     54054000
   245       801786      1220476     52031738     54054000
   246      1720352      2809992     49523656     54054000
   247      1599957      1723033     50731010     54054000
   248      3516816      2960952     47576232     54054000
   249      1878015      1264682     50911303     54054000
   250      2694902      2192036     49167062     54054000
   251      4824313      2680368     46549319     54054000
   252      2857961      1482557     49713482     54054000
   253      2384272      1290721     50379007     54054000
   254      2125753      1583106     50345141     54054000
   255      3338044      2423919     48292037     54054000
   256      5218288      2817137     46018575     54054000
   257      3548559      2343859     48161582     54054000
   258      3235517      2015019     48803464     54054000
   259      1712374      2768226     49573400     54054000
   260      2324137      2622616     49107247     54054000
   261      2272497      2680407     49101096     54054000
   262      2193854      1489236     50370910     54054000
   263      4242948      3888631     45922421     54054000
   264      3233109      3474919     47345972     54054000
   265      2757045      1232628     50064327     54054000
   266      2320848      1545604     50187548     54054000
   267      3375490      1734788     48943722     54054000
   268      4447591      3585277     46021132     54054000
   269      5838193      3590517     44625290     54054000
   270      4498383      3279209     46276408     54054000
   271      3556838      2749848     47747314     54054000
   272      3029940      2671887     48352173     54054000
   273      2650539      3532252     47871209     54054000
   274      2234979      3397378     48421643     54054000
   275      3040293      3625139     47388568     54054000
   276      4026565      4689847     45337588     54054000
   277      2145774      6514476     45393750     54054000
   278      2001078      9786491     42266431     54054000
   279      2730933      9865030     41458037     54054000
   280      1974675      9402810     42676515     54054000
   281      3257357      9122339     41674304     54054000
   282      4286940     10352021     39415039     54054000
   283      1334040      6308993     46410967     54054000
   284      2961084      5238418     45854498     54054000
   285      3193363      5612704     45247933     54054000
   286      1399169      8334038     44320793     54054000
