 Chunk         Ties       Losses         Wins        Total
     0      1865858      1947931     50240211     54054000
     1      1202844       869829     51981327     54054000
     2      1431941      2063400     50558659     54054000
     3      1645784      4664903     47743313     54054000
     4      1397103      1651507     51005390     54054000
     5      1830055      1926757     50297188     54054000
     6      1464600       719316     51870084     54054000
     7      1628564      3399352     49026084     54054000
     8      2745339      3959845     47348816     54054000
     9      2927805      3528901     47597294     54054000
    10      1700026      4312432     48041542     54054000
    11      1603743      1451498     50998759     54054000
    12      1549390      1241042     51263568     54054000
    13      2163000      1137510     50753490     54054000
    14      2321852      1536131     50196017     54054000
    15      1361393      1145635     51546972     54054000
    16      1492583      1973999     50587418     54054000
    17      1712512      1389022     50952466     54054000
    18      2803136      3139215     48111649     54054000
    19      3253993      2443881     48356126     54054000
    20      3848764      3942245     46262991     54054000
    21      5395850      3464777     45193373     54054000
    22      3924641      3887637     46241722     54054000
    23      2787469      3438499     47828032     54054000
    24      3609435      2461051     47983514     54054000
    25      3403361      3619758     47030881     54054000
    26      1676094      2162180     50215726     54054000
    27      1863956      1132574     51057470     54054000
    28      1575943      1297996     51180061     54054000
    29      2304837      1149805     50599358     54054000
    30      1994755       939946     51119299     54054000
    31      1614240       767004     51672756     54054000
    32      4511292      1304821     48237887     54054000
    33      2893043      1184387     49976570     54054000
    34      1876472      1018685     51158843     54054000
    35      1597965      2312387     50143648     54054000
    36      1557740      1147577     51348683     54054000
    37      2562805      2467754     49023441     54054000
    38      2308165      2203189     49542646     54054000
    39      1642800       721266     51689934     54054000
    40      1831100      1250633     50972267     54054000
    41      3652652      2016434     48384914     54054000
    42      4107706      2639325     47306969     54054000
    43      3097934      1741866     49214200     54054000
    44      3732349      2239884     48081767     54054000
    45      3849319      3793356     46411325     54054000
    46      5443600      3300465     45309935     54054000
    47      4513840      2948849     46591311     54054000
    48      4912707      1892608     47248685     54054000
    49      8585027      3942366     41526607     54054000
    50      7209014      3941221     42903765     54054000
    51      3203934      1999864     48850202     54054000
    52      3014585      3103029     47936386     54054000
    53      4381422      3574268     46098310     54054000
    54      3169205      1591819     49292976     54054000
    55      3206834      1605452     49241714     54054000
    56      8333162      3953531     41767307     54054000
    57      4133139      2513302     47407559     54054000
    58      1464505      1270159     51319336     54054000
    59      2305307      1486101     50262592     54054000
    60      3410879      2121409     48521712     54054000
    61      2086219      1313846     50653935     54054000
    62      1600543      1946820     50506637     54054000
    63      2269216      2036583     49748201     54054000
    64      2019817      1495614     50538569     54054000
    65      1754682      1157147     51142171     54054000
    66      4140088      2532791     47381121     54054000
    67      2804800      2129955     49119245     54054000
    68      2262973       479499     51311528     54054000
    69      2017781      1173056     50863163     54054000
    70      2921442      1071103     50061455     54054000
    71      4546509      2360534     47146957     54054000
    72      5240223      2705732     46108045     54054000
    73      4827004      2256660     46970336     54054000
    74      2589076      1862822     49602102     54054000
    75      1375677      1242857     51435466     54054000
    76      1436485      3307979     49309536     54054000
    77      1453703      1164684     51435613     54054000
    78      2754243      3427918     47871839     54054000
    79      1885923      2397012     49771065     54054000
    80      2102574      1157982     50793444     54054000
    81      1763006      1816219     50474775     54054000
    82      4110380      3134104     46809516     54054000
    83      3533212      3105566     47415222     54054000
    84      2876084      2579184     48598732     54054000
    85      1931995       860713     51261292     54054000
    86      2813628       808219     50432153     54054000
    87      2071120      1388986     50593894     54054000
    88      2452406      1693007     49908587     54054000
    89      3643530      2450279     47960191     54054000
    90      5130045      3155824     45768131     54054000
    91      6524666      3566896     43962438     54054000
    92      3401902      2962136     47689962     54054000
    93      5153047      2606085     46294868     54054000
    94      2232257      1655574     50166169     54054000
    95      2894643      4005461     47153896     54054000
    96      2789338      5738731     45525931     54054000
    97      3387902      5405437     45260661     54054000
    98      3224153      4332445     46497402     54054000
    99      3218437      3469712     47365851     54054000
   100      5020802      5974176     43059022     54054000
   101      4453103      5635349     43965548     54054000
   102      3301699      2153200     48599101     54054000
   103      3482751      2854754     47716495     54054000
   104      2867222      3450634     47736144     54054000
   105      4172565      4628919     45252516     54054000
   106      6423301      6570701     41059998     54054000
   107      6614686      5761385     41677929     54054000
   108      4287225      4431713     45335062     54054000
   109      2546538      4554165     46953297     54054000
   110      3112167      4051949     46889884     54054000
   111      4224092      6569873     43260035     54054000
   112      3742751      2518191     47793058     54054000
   113      3337686      3471299     47245015     54054000
   114      7375060      6609887     40069053     54054000
   115      4161764      3509845     46382391     54054000
   116      4924090      1938246     47191664     54054000
   117      3060363      3114192     47879445     54054000
   118      4294452      3421203     46338345     54054000
   119      6764242      5581614     41708144     54054000
   120     10394317      6489446     37170237     54054000
   121      5983728      4593980     43476292     54054000
   122      3173381      3080246     47800373     54054000
   123      2158670      3444349     48450981     54054000
   124      2201349      1884828     49967823     54054000
   125      3851109      3634194     46568697     54054000
   126      2661245      1663293     49729462     54054000
   127      3452732      3244688     47356580     54054000
   128      5451358      4152088     44450554     54054000
   129      2916078      2245759     48892163     54054000
   130      1756773      2493295     49803932     54054000
   131      2369048      2888389     48796563     54054000
   132      2276300      2079563     49698137     54054000
   133      2107466      1660889     50285645     54054000
   134      4323811      3705679     46024510     54054000
   135      3051613      3148095     47854292     54054000
   136      2669518       809468     50575014     54054000
   137      2358240      1678801     50016959     54054000
   138      3434269      1611101     49008630     54054000
   139      4744179      3262229     46047592     54054000
   140      5399041      3648725     45006234     54054000
   141      5267633      3130814     45655553     54054000
   142      2570076      2132929     49350995     54054000
   143      3891037      2569644     47593319     54054000
   144      2078303      2955587     49020110     54054000
   145      2785442      3605957     47662601     54054000
   146      2882854      2732206     48438940     54054000
   147      4589896      4673564     44790540     54054000
   148      1821224      7110553     45122223     54054000
   149      2380039      7365002     44308959     54054000
   150      3440446      8970396     41643158     54054000
   151      2260011      7651562     44142427     54054000
   152      3758519      7616615     42678866     54054000
   153      4087463      8135966     41830571     54054000
   154      2089418      5775839     46188743     54054000
   155      1713593      2192106     50148301     54054000
   156      1407043      3296853     49350104     54054000
   157      1655083      1987623     50411294     54054000
   158      2341432      3964435     47748133     54054000
   159      2087532      3520801     48445667     54054000
   160      1995230      1190226     50868544     54054000
   161      1878064      1721934     50454002     54054000
   162      3370987      3634924     47048089     54054000
   163      3799463      4354938     45899599     54054000
   164      2891553      3308001     47854446     54054000
   165      1928319      1486162     50639519     54054000
   166      2653533      1137690     50262777     54054000
   167      2872348      1479692     49701960     54054000
   168      2256074      1951692     49846234     54054000
   169      3543768      2737411     47772821     54054000
   170      4488454      4297985     45267561     54054000
   171      6377491      3773145     43903364     54054000
   172      3204842      3384441     47464717     54054000
   173      4789572      3246888     46017540     54054000
   174      2865240      2663135     48525625     54054000
   175      2551086      2216109     49286805     54054000
   176      2700084      1670632     49683284     54054000
   177      3845566      1642888     48565546     54054000
   178      4828896      2004286     47220818     54054000
   179      3115539      2240594     48697867     54054000
   180      2553476      2693127     48807397     54054000
   181      3438391      2640336     47975273     54054000
   182      4607794      2728331     46717875     54054000
   183      3565141      4079342     46409517     54054000
   184      3983010      5920260     44150730     54054000
   185      5275963      5190381     43587656     54054000
   186      5277436      4092604     44683960     54054000
   187      5396800      6414636     42242564     54054000
   188      3969217      5706231     44378552     54054000
   189      5656092      4844233     43553675     54054000
   190      5357269      3949890     44746841     54054000
   191      6399059      5704707     41950234     54054000
   192      2479820      4162348     47411832     54054000
   193      3210643      4220768     46622589     54054000
   194       306815      1259052     52488133     54054000
   195       329331      1072387     52652282     54054000
   196       351620      1264769     52437611     54054000
   197       354858       780350     52918792     54054000
   198       368581       931939     52753480     54054000
   199       479734      1153972     52420294     54054000
   200       281630       659919     53112451     54054000
   201       341620       458577     53253803     54054000
   202       333258       966953     52753789     54054000
   203       391160       826624     52836216     54054000
   204       501541       922185     52630274     54054000
   205       448129      1007429     52598442     54054000
   206       360015       668488     53025497     54054000
   207       230496       506677     53316827     54054000
   208       288128       481016     53284856     54054000
   209       381632       485215     53187153     54054000
   210       210185       860128     52983687     54054000
   211       235878       704543     53113579     54054000
   212       228015       553364     53272621     54054000
   213       303441       659844     53090715     54054000
   214       426652       952250     52675098     54054000
   215       451672      1072510     52529818     54054000
   216       497940       961111     52594949     54054000
   217       477315       763965     52812720     54054000
   218       412928       677178     52963894     54054000
   219       478722       965932     52609346     54054000
   220       413166      1137926     52502908     54054000
   221       496369       952240     52605391     54054000
   222       531192      1104820     52417988     54054000
   223       509087       694015     52850898     54054000
   224       617532      1086392     52350076     54054000
   225       742896      1034345     52276759     54054000
   226       426688       520339     53106973     54054000
   227       529977       461304     53062719     54054000
   228       562217      1031252     52460531     54054000
   229       702719       792410     52558871     54054000
   230       760482      1016449     52277069     54054000
   231       821653       857820     52374527     54054000
   232       521186       572727     52960087     54054000
   233       406572       533536     53113892     54054000
   234       435168       389583     53229249     54054000
   235       558278       458046     53037676     54054000
   236       488675       953894     52611431     54054000
   237       600513       710797     52742690     54054000
   238       542303       501823     53009874     54054000
   239       758209       659387     52636404     54054000
   240       726229      1117694     52210077     54054000
   241       750447       846601     52456952     54054000
   242       696070       884200     52473730     54054000
   243       621833       780772     52651395     54054000
   244       484141       498031     53071828     54054000
   245       825964      1213518     52014518     54054000
   246      1748240      2796216     49509544     54054000
   247      1627930      1713213     50712857     54054000
   248      3557548      2934469     47561983     54054000
   249      1902677      1259759     50891564     54054000
   250      2725958      2178645     49149397     54054000
   251      4874502      2649676     46529822     54054000
   252      2889853      1469830     49694317     54054000
   253      2416387      1282114     50355499     54054000
   254      2153273      1577632     50323095     54054000
   255      3377568      2407956     48268476     54054000
   256      5272526      2793482     45987992     54054000
   257      3595996      2323935     48134069     54054000
   258      3289952      1993479     48770569     54054000
   259      1754978      2740645     49558377     54054000
   260      2367469      2595904     49090627     54054000
   261      2307815      2662140     49084045     54054000
   262      2239347      1467078     50347575     54054000
   263      4307044      3840655     45906301     54054000
   264      3287778      3435224     47330998     54054000
   265      2792721      1222521     50038758     54054000
   266      2352437      1536990     50164573     54054000
   267      3411007      1721082     48921911     54054000
   268      4514309      3537622     46002069     54054000
   269      5922881      3527376     44603743     54054000
   270      4569796      3225699     46258505     54054000
   271      3630327      2686945     47736728     54054000
   272      3083838      2634424     48335738     54054000
   273      2704753      3490355     47858892     54054000
   274      2275494      3371475     48407031     54054000
   275      3087702      3593053     47373245     54054000
   276      4094967      4638684     45320349     54054000
   277      2192805      6475213     45385982     54054000
   278      2044021      9750957     42259022     54054000
   279      2773429      9833886     41446685     54054000
   280      2018644      9364986     42670370     54054000
   281      3314892      9080398     41658710     54054000
   282      4355616     10299127     39399257     54054000
   283      1359249      6286223     46408528     54054000
   284      3020787      5191224     45841989     54054000
   285      3255082      5562870     45236048     54054000
   286      1434096      8305468     44314436     54054000
   287      1979629      4133951     47940420     54054000
   288      2836986      4617346     46599668     54054000
   289      3758043      4721822     45574135     54054000
   290      3073918      5037216     45942866     54054000
   291      2167600      6808087     45078313     54054000
   292      2910658     10458215     40685127     54054000
   293      1672072      6964111     45417817     54054000
   294        18137      2985067     51050796     54054000
   295        17925      2837338     51198737     54054000
   296        20622      2590946     51442432     54054000
   297        34851      3018962     51000187     54054000
   298        68297      2681179     51304524     54054000
   299       111809      2790979     51151212     54054000
   300       148525      2922021     50983454     54054000
   301       229284      2853978     50970738     54054000
   302       152641      2775781     51125578     54054000
   303       888147      5816125     47349728     54054000
   304      1953340      7212205     44888455     54054000
   305      2380075      5501014     46172911     54054000
   306      1196076      2437046     50420878     54054000
   307      1540667      3149679     49363654     54054000
   308      1814743      2878991     49360266     54054000
   309      2405942      5480116     46167942     54054000
   310      1684262      1564162     50805576     54054000
   311      2239939      2111617     49702444     54054000
   312      2655200      3196322     48202478     54054000
   313      4157111      5496363     44400526     54054000
   314      3239729      4568588     46245683     54054000
   315      1682048      2104780     50267172     54054000
   316      2374598      1385694     50293708     54054000
   317      3629453      1690857     48733690     54054000
   318      2041852      2497736     49514412     54054000
   319      3184794      2406913     48462293     54054000
   320      3466707      3934719     46652574     54054000
   321      5993247      4860129     43200624     54054000
   322      4223668      5027338     44802994     54054000
   323      3777579      3435394     46841027     54054000
   324      4443402      4076843     45533755     54054000
   325      2520066      2777804     48756130     54054000
   326      2254686      2940620     48858694     54054000
   327      3463879      2768254     47821867     54054000
   328      3783628      2202569     48067803     54054000
   329      4257932      3710580     46085488     54054000
   330      1815742      4035668     48202590     54054000
   331      3039684      4019901     46994415     54054000
   332      3076634      2894787     48082579     54054000
