 Chunk         Ties       Losses         Wins        Total
     0      2164888      1846771     50042341     54054000
     1      1370742       803854     51879404     54054000
     2      1671670      1964088     50418242     54054000
     3      1927349      4493623     47633028     54054000
     4      1585363      1592679     50875958     54054000
     5      2105386      1826227     50122387     54054000
     6      1657405       665282     51731313     54054000
     7      1891791      3273250     48888959     54054000
     8      3154537      3722385     47177078     54054000
     9      3394721      3233079     47426200     54054000
    10      2044589      4105630     47903781     54054000
    11      1825426      1401754     50826820     54054000
    12      1770226      1192398     51091376     54054000
    13      2412936      1076497     50564567     54054000
    14      2643984      1451112     49958904     54054000
    15      1550049      1092856     51411095     54054000
    16      1714420      1900354     50439226     54054000
    17      1963029      1321059     50769912     54054000
    18      3247138      2909449     47897413     54054000
    19      3681110      2230326     48142564     54054000
    20      4292286      3703125     46058589     54054000
    21      5995692      3141906     44916402     54054000
    22      4487253      3509644     46057103     54054000
    23      3208017      3190312     47655671     54054000
    24      4082790      2215988     47755222     54054000
    25      3987519      3231724     46834757     54054000
    26      1960956      1976366     50116678     54054000
    27      2150368      1043611     50860021     54054000
    28      1790777      1251715     51011508     54054000
    29      2582850      1087489     50383661     54054000
    30      2277940       891687     50884373     54054000
    31      1852806       729663     51471531     54054000
    32      4961910      1184225     47907865     54054000
    33      3222705      1073716     49757579     54054000
    34      2151274       950785     50951941     54054000
    35      1832736      2217549     50003715     54054000
    36      1772599      1112731     51168670     54054000
    37      2906495      2339973     48807532     54054000
    38      2647724      2048091     49358185     54054000
    39      1869729       690996     51493275     54054000
    40      2120532      1192291     50741177     54054000
    41      4067694      1875940     48110366     54054000
    42      4614892      2398647     47040461     54054000
    43      3514082      1552763     48987155     54054000
    44      4164161      2037174     47852665     54054000
    45      4297659      3551712     46204629     54054000
    46      5993015      3011815     45049170     54054000
    47      5039303      2716396     46298301     54054000
    48      5380444      1755689     46917867     54054000
    49      9383650      3496227     41174123     54054000
    50      8047496      3417011     42589493     54054000
    51      3626277      1767669     48660054     54054000
    52      3448881      2874851     47730268     54054000
    53      4986967      3223895     45843138     54054000
    54      3554167      1452256     49047577     54054000
    55      3620626      1469176     48964198     54054000
    56      9145740      3427108     41481152     54054000
    57      4765020      2128796     47160184     54054000
    58      1677999      1138755     51237246     54054000
    59      2633417      1302195     50118388     54054000
    60      3852876      1812561     48388563     54054000
    61      2404473      1170989     50478538     54054000
    62      1850832      1848001     50355167     54054000
    63      2609834      1879260     49564906     54054000
    64      2323527      1400424     50330049     54054000
    65      2019207      1078702     50956091     54054000
    66      4675610      2251432     47126958     54054000
    67      3192809      1919576     48941615     54054000
    68      2564684       423520     51065796     54054000
    69      2306059      1092294     50655647     54054000
    70      3306515       957724     49789761     54054000
    71      5062721      2106857     46884422     54054000
    72      5834057      2380103     45839840     54054000
    73      5399859      1966753     46687388     54054000
    74      2957504      1668523     49427973     54054000
    75      1602673      1166883     51284444     54054000
    76      1670577      3195243     49188180     54054000
    77      1680307      1105074     51268619     54054000
    78      3168303      3220001     47665696     54054000
    79      2180665      2265708     49607627     54054000
    80      2392518      1102859     50558623     54054000
    81      2050365      1732129     50271506     54054000
    82      4638820      2903939     46511241     54054000
    83      4014094      2827173     47212733     54054000
    84      3314789      2313174     48426037     54054000
    85      2217750       811448     51024802     54054000
    86      3171782       741203     50141015     54054000
    87      2368784      1309967     50375249     54054000
    88      2818210      1596422     49639368     54054000
    89      4121931      2242778     47689291     54054000
    90      5674346      2909959     45469695     54054000
    91      7257361      3172422     43624217     54054000
    92      3865485      2716050     47472465     54054000
    93      5771550      2312139     45970311     54054000
    94      2545447      1477895     50030658     54054000
    95      3428860      3774998     46850142     54054000
    96      3286560      5538669     45228771     54054000
    97      3957336      5170356     44926308     54054000
    98      3804806      4119470     46129724     54054000
    99      3733884      3331374     46988742     54054000
   100      5819232      5614785     42619983     54054000
