 Chunk         Ties       Losses         Wins        Total
     0      1850377      1951690     50251933     54054000
     1      1194382       872704     51986914     54054000
     2      1419229      2069782     50564989     54054000
     3      1636559      4671819     47745622     54054000
     4      1386427      1652961     51014612     54054000
     5      1820625      1929906     50303469     54054000
     6      1456218       722091     51875691     54054000
     7      1621634      3403243     49029123     54054000
     8      2731577      3968934     47353489     54054000
     9      2915353      3535258     47603389     54054000
    10      1693123      4316750     48044127     54054000
    11      1592980      1452886     51008134     54054000
    12      1540899      1242399     51270702     54054000
    13      2156413      1139191     50758396     54054000
    14      2308380      1538852     50206768     54054000
    15      1352147      1148760     51553093     54054000
    16      1484305      1975313     50594382     54054000
    17      1703321      1392313     50958366     54054000
    18      2790586      3146009     48117405     54054000
    19      3241264      2449400     48363336     54054000
    20      3837280      3948518     46268202     54054000
    21      5377957      3475929     45200114     54054000
    22      3911729      3895814     46246457     54054000
    23      2769594      3452337     47832069     54054000
    24      3589171      2476910     47987919     54054000
    25      3383904      3630211     47039885     54054000
    26      1669565      2167122     50217313     54054000
    27      1843260      1134783     51075957     54054000
    28      1564247      1299525     51190228     54054000
    29      2296234      1151017     50606749     54054000
    30      1978911       941393     51133696     54054000
    31      1604743       767722     51681535     54054000
    32      4501405      1307848     48244747     54054000
    33      2881196      1188256     49984548     54054000
    34      1861538      1020353     51172109     54054000
    35      1589576      2315114     50149310     54054000
    36      1546077      1148655     51359268     54054000
    37      2556320      2469570     49028110     54054000
    38      2298537      2205967     49549496     54054000
    39      1635941       721988     51696071     54054000
    40      1821705      1251753     50980542     54054000
    41      3645378      2019197     48389425     54054000
    42      4097283      2645642     47311075     54054000
    43      3089721      1745786     49218493     54054000
    44      3713687      2249697     48090616     54054000
    45      3834265      3801449     46418286     54054000
    46      5425595      3310069     45318336     54054000
    47      4497744      2955944     46600312     54054000
    48      4895581      1897607     47260812     54054000
    49      8566767      3953310     41533923     54054000
    50      7184375      3957871     42911754     54054000
    51      3181621      2015459     48856920     54054000
    52      3001936      3111148     47940916     54054000
    53      4363866      3586822     46103312     54054000
    54      3160274      1595178     49298548     54054000
    55      3193273      1610587     49250140     54054000
    56      8305429      3972255     41776316     54054000
    57      4114296      2525796     47413908     54054000
    58      1457029      1276521     51320450     54054000
    59      2297986      1490750     50265264     54054000
    60      3396497      2132451     48525052     54054000
    61      2071903      1318995     50663102     54054000
    62      1590693      1950075     50513232     54054000
    63      2259585      2040695     49753720     54054000
    64      2008598      1498522     50546880     54054000
    65      1744962      1159542     51149496     54054000
    66      4126874      2540120     47387006     54054000
    67      2790827      2138353     49124820     54054000
    68      2249611       480802     51323587     54054000
    69      2008405      1174343     50871252     54054000
    70      2912693      1073436     50067871     54054000
    71      4531713      2367899     47154388     54054000
    72      5222948      2715884     46115168     54054000
    73      4805028      2270720     46978252     54054000
    74      2576696      1870149     49607155     54054000
    75      1363836      1245398     51444766     54054000
    76      1427579      3311365     49315056     54054000
    77      1443208      1166012     51444780     54054000
    78      2741375      3433915     47878710     54054000
    79      1873894      2400513     49779593     54054000
    80      2091876      1159381     50802743     54054000
    81      1752846      1817801     50483353     54054000
    82      4097064      3140821     46816115     54054000
    83      3516976      3115829     47421195     54054000
    84      2862143      2588656     48603201     54054000
    85      1914955       862175     51276870     54054000
    86      2799340       810200     50444460     54054000
    87      2059731      1390917     50603352     54054000
    88      2444161      1694481     49915358     54054000
    89      3630478      2457108     47966414     54054000
    90      5114509      3164179     45775312     54054000
    91      6503342      3578432     43972226     54054000
    92      3388186      2970592     47695222     54054000
    93      5133281      2614501     46306218     54054000
    94      2222469      1661363     50170168     54054000
    95      2873441      4015750     47164809     54054000
    96      2772353      5748549     45533098     54054000
    97      3372924      5412363     45268713     54054000
    98      3207032      4339254     46507714     54054000
    99      3201040      3474243     47378717     54054000
   100      5007020      5982472     43064508     54054000
   101      4434995      5649823     43969182     54054000
   102      3276396      2158273     48619331     54054000
   103      3464969      2857803     47731228     54054000
   104      2851142      3453680     47749178     54054000
   105      4156033      4635340     45262627     54054000
