 Chunk         Ties       Losses         Wins        Total
     0      1821216      1962406     50270378     54054000
     1      1175457       881471     51997072     54054000
     2      1384641      2094117     50575242     54054000
     3      1614379      4687404     47752217     54054000
     4      1366863      1655874     51031263     54054000
     5      1795870      1939649     50318481     54054000
     6      1429436       734893     51889671     54054000
     7      1605851      3411569     49036580     54054000
     8      2694937      3999320     47359743     54054000
     9      2885721      3553471     47614808     54054000
    10      1673472      4330770     48049758     54054000
    11      1571919      1457137     51024944     54054000
    12      1523665      1246566     51283769     54054000
    13      2137865      1144270     50771865     54054000
    14      2274816      1551522     50227662     54054000
    15      1328760      1161189     51564051     54054000
    16      1466343      1979149     50608508     54054000
    17      1679571      1402213     50972216     54054000
    18      2761683      3163256     48129061     54054000
    19      3217525      2464173     48372302     54054000
    20      3800400      3977112     46276488     54054000
    21      5326241      3514050     45213709     54054000
    22      3879420      3916503     46258077     54054000
    23      2740127      3472227     47841646     54054000
    24      3554261      2497142     48002597     54054000
    25      3346549      3658594     47048857     54054000
    26      1652345      2178599     50223056     54054000
    27      1822314      1139853     51091833     54054000
    28      1544832      1304548     51204620     54054000
    29      2276557      1155651     50621792     54054000
    30      1957586       945015     51151399     54054000
    31      1589173       769464     51695363     54054000
    32      4471789      1316984     48265227     54054000
    33      2857534      1196090     50000376     54054000
    34      1836661      1023386     51193953     54054000
    35      1570500      2322515     50160985     54054000
    36      1526584      1150510     51376906     54054000
    37      2538635      2475035     49040330     54054000
    38      2276107      2211889     49566004     54054000
    39      1618173       723033     51712794     54054000
    40      1798495      1253394     51002111     54054000
    41      3623372      2030300     48400328     54054000
    42      4071152      2658655     47324193     54054000
    43      3066394      1757878     49229728     54054000
    44      3677313      2271852     48104835     54054000
    45      3788857      3835909     46429234     54054000
    46      5377256      3342173     45334571     54054000
    47      4463108      2976576     46614316     54054000
    48      4852209      1917694     47284097     54054000
    49      8509617      3994143     41550240     54054000
    50      7133850      3995090     42925060     54054000
    51      3127235      2055913     48870852     54054000
    52      2969585      3130844     47953571     54054000
    53      4315382      3624072     46114546     54054000
    54      3136871      1606355     49310774     54054000
    55      3157447      1629379     49267174     54054000
    56      8241861      4022945     41789194     54054000
    57      4069545      2557032     47427423     54054000
    58      1432631      1295591     51325778     54054000
    59      2271452      1512074     50270474     54054000
    60      3361284      2162732     48529984     54054000
    61      2040413      1334606     50678981     54054000
    62      1566054      1960924     50527022     54054000
    63      2237167      2051968     49764865     54054000
    64      1983172      1508966     50561862     54054000
    65      1726228      1166092     51161680     54054000
    66      4092893      2560431     47400676     54054000
    67      2760881      2155425     49137694     54054000
    68      2227904       483773     51342323     54054000
    69      1989098      1178191     50886711     54054000
    70      2889555      1080957     50083488     54054000
    71      4492598      2390280     47171122     54054000
    72      5168158      2753324     46132518     54054000
    73      4754064      2307570     46992366     54054000
    74      2538580      1897040     49618380     54054000
    75      1345194      1250181     51458625     54054000
    76      1408860      3320063     49325077     54054000
    77      1424871      1170312     51458817     54054000
    78      2714473      3449941     47889586     54054000
    79      1849142      2413143     49791715     54054000
    80      2069540      1163335     50821125     54054000
    81      1730446      1826700     50496854     54054000
    82      4065175      3159332     46829493     54054000
    83      3482759      3135350     47435891     54054000
    84      2834604      2607419     48611977     54054000
    85      1894636       864211     51295153     54054000
    86      2775115       813449     50465436     54054000
    87      2037198      1395432     50621370     54054000
    88      2422123      1698797     49933080     54054000
    89      3591699      2481671     47980630     54054000
    90      5076787      3185590     45791623     54054000
    91      6453693      3610684     43989623     54054000
    92      3352863      2994636     47706501     54054000
    93      5090482      2639609     46323909     54054000
    94      2196931      1681303     50175766     54054000
    95      2842469      4036103     47175428     54054000
    96      2743559      5765629     45544812     54054000
    97      3333001      5434670     45286329     54054000
    98      3173328      4354716     46525956     54054000
    99      3165621      3486360     47402019     54054000
   100      4961199      6013096     43079705     54054000
   101      4393568      5679517     43980915     54054000
   102      3244203      2167271     48642526     54054000
   103      3432415      2866411     47755174     54054000
   104      2815994      3460100     47777906     54054000
   105      4116792      4651153     45286055     54054000
   106      6333403      6617520     41103077     54054000
   107      6527817      5807372     41718811     54054000
   108      4232980      4468444     45352576     54054000
   109      2487257      4585565     46981178     54054000
   110      3052648      4073095     46928257     54054000
   111      4159441      6618098     43276461     54054000
   112      3678553      2534305     47841142     54054000
   113      3278091      3491059     47284850     54054000
   114      7285559      6674515     40093926     54054000
   115      4099180      3543649     46411171     54054000
   116      4861096      1951879     47241025     54054000
   117      2991851      3125298     47936851     54054000
   118      4231858      3436888     46385254     54054000
   119      6678220      5625179     41750601     54054000
