 Chunk         Ties       Losses         Wins        Total
     0      1948739      1929594     50175667     54054000
     1      1254085       852671     51947244     54054000
     2      1500391      2033554     50520055     54054000
     3      1700852      4630081     47723067     54054000
     4      1454094      1636327     50963579     54054000
     5      1897259      1903680     50253061     54054000
     6      1514819       707212     51831969     54054000
     7      1677812      3373673     49002515     54054000
     8      2832818      3902339     47318843     54054000
     9      3028243      3462324     47563433     54054000
    10      1756633      4276977     48020390     54054000
    11      1658734      1443071     50952195     54054000
    12      1599542      1230683     51223775     54054000
    13      2216957      1123512     50713531     54054000
    14      2394795      1517910     50141295     54054000
    15      1411322      1127790     51514888     54054000
    16      1544239      1960856     50548905     54054000
    17      1764187      1374865     50914948     54054000
    18      2899096      3078026     48076878     54054000
    19      3343232      2405180     48305588     54054000
    20      3950894      3883983     46219123     54054000
    21      5522052      3393233     45138715     54054000
    22      4039591      3805630     46208779     54054000
    23      2880556      3376904     47796540     54054000
    24      3701781      2406314     47945905     54054000
    25      3517383      3540256     46996361     54054000
    26      1728977      2123492     50201531     54054000
    27      1937698      1117690     50998612     54054000
    28      1626719      1288363     51138918     54054000
    29      2360080      1136193     50557727     54054000
    30      2058817       930751     51064432     54054000
    31      1667945       759678     51626377     54054000
    32      4598727      1279964     48175309     54054000
    33      2954565      1162376     49937059     54054000
    34      1943625      1008525     51101850     54054000
    35      1645633      2293701     50114666     54054000
    36      1615706      1141859     51296435     54054000
    37      2628375      2442867     48982758     54054000
    38      2372823      2177780     49503397     54054000
    39      1695174       715567     51643259     54054000
    40      1894286      1239563     50920151     54054000
    41      3721833      1990948     48341219     54054000
    42      4209658      2585248     47259094     54054000
    43      3173031      1707642     49173327     54054000
    44      3847155      2192249     48014596     54054000
    45      3961873      3736991     46355136     54054000
    46      5578688      3229307     45246005     54054000
    47      4647979      2891687     46514334     54054000
    48      5031898      1863081     47159021     54054000
    49      8773503      3835316     41445181     54054000
    50      7420606      3811701     42821693     54054000
    51      3309237      1932141     48812622     54054000
    52      3105627      3045422     47902951     54054000
    53      4500381      3493304     46060315     54054000
    54      3237714      1565274     49251012     54054000
    55      3298717      1567073     49188210     54054000
    56      8512152      3823975     41717873     54054000
    57      4257006      2430179     47366815     54054000
    58      1512983      1233102     51307915     54054000
