 Chunk         Ties       Losses         Wins        Total
     0      1820896      1962453     50270651     54054000
     1      1175407       881479     51997114     54054000
     2      1384564      2094136     50575300     54054000
     3      1614231      4687466     47752303     54054000
     4      1366811      1655897     51031292     54054000
     5      1795774      1939660     50318566     54054000
     6      1429363       734895     51889742     54054000
     7      1605795      3411606     49036599     54054000
     8      2694878      3999374     47359748     54054000
     9      2885514      3553586     47614900     54054000
    10      1673310      4330927     48049763     54054000
    11      1571881      1457148     51024971     54054000
    12      1523594      1246571     51283835     54054000
    13      2137780      1144275     50771945     54054000
    14      2274686      1551540     50227774     54054000
    15      1328708      1161205     51564087     54054000
    16      1466275      1979149     50608576     54054000
    17      1679520      1402219     50972261     54054000
    18      2761525      3163302     48129173     54054000
    19      3217469      2464211     48372320     54054000
    20      3800331      3977181     46276488     54054000
    21      5326156      3514120     45213724     54054000
    22      3878921      3916685     46258394     54054000
    23      2739821      3472303     47841876     54054000
    24      3553875      2497155     48002970     54054000
    25      3346245      3658738     47049017     54054000
    26      1652191      2178634     50223175     54054000
    27      1822245      1139893     51091862     54054000
    28      1544773      1304560     51204667     54054000
    29      2276539      1155653     50621808     54054000
    30      1957529       945058     51151413     54054000
    31      1589094       769465     51695441     54054000
    32      4471673      1316998     48265329     54054000
    33      2857476      1196119     50000405     54054000
    34      1836518      1023392     51194090     54054000
    35      1570451      2322520     50161029     54054000
    36      1526487      1150515     51376998     54054000
    37      2538555      2475057     49040388     54054000
    38      2275972      2211943     49566085     54054000
    39      1618082       723035     51712883     54054000
    40      1798390      1253395     51002215     54054000
    41      3623350      2030316     48400334     54054000
    42      4070937      2658769     47324294     54054000
    43      3066243      1757931     49229826     54054000
    44      3677295      2271870     48104835     54054000
    45      3788752      3836008     46429240     54054000
    46      5377215      3342202     45334583     54054000
    47      4463064      2976620     46614316     54054000
    48      4852139      1917694     47284167     54054000
    49      8509577      3994183     41550240     54054000
    50      7133737      3995199     42925064     54054000
    51      3127003      2055959     48871038     54054000
    52      2969384      3130869     47953747     54054000
    53      4315264      3624115     46114621     54054000
    54      3136834      1606356     49310810     54054000
    55      3156908      1629481     49267611     54054000
    56      8241620      4023042     41789338     54054000
    57      4069342      2557052     47427606     54054000
    58      1432390      1295593     51326017     54054000
    59      2271319      1512088     50270593     54054000
    60      3361130      2162766     48530104     54054000
    61      2040362      1334610     50679028     54054000
    62      1566010      1960943     50527047     54054000
    63      2237106      2051977     49764917     54054000
    64      1983138      1508983     50561879     54054000
    65      1726179      1166097     51161724     54054000
    66      4092801      2560480     47400719     54054000
    67      2760779      2155464     49137757     54054000
    68      2227882       483777     51342341     54054000
    69      1989032      1178197     50886771     54054000
    70      2889509      1080972     50083519     54054000
    71      4492351      2390338     47171311     54054000
    72      5168068      2753379     46132553     54054000
    73      4753876      2307644     46992480     54054000
    74      2538451      1897064     49618485     54054000
    75      1345153      1250194     51458653     54054000
    76      1408779      3320092     49325129     54054000
    77      1424841      1170319     51458840     54054000
    78      2714347      3449967     47889686     54054000
    79      1849089      2413176     49791735     54054000
    80      2069483      1163344     50821173     54054000
    81      1730312      1826702     50496986     54054000
    82      4065135      3159350     46829515     54054000
    83      3482449      3135395     47436156     54054000
    84      2834441      2607511     48612048     54054000
    85      1894620       864212     51295168     54054000
    86      2775051       813462     50465487     54054000
    87      2037152      1395435     50621413     54054000
    88      2421952      1698799     49933249     54054000
    89      3591620      2481691     47980689     54054000
    90      5076712      3185629     45791659     54054000
    91      6453516      3610716     43989768     54054000
    92      3352685      2994650     47706665     54054000
    93      5090189      2639629     46324182     54054000
    94      2196732      1681308     50175960     54054000
    95      2842353      4036175     47175472     54054000
    96      2743424      5765746     45544830     54054000
    97      3332924      5434710     45286366     54054000
    98      3173275      4354740     46525985     54054000
    99      3165495      3486397     47402108     54054000
   100      4961074      6013191     43079735     54054000
   101      4393333      5679595     43981072     54054000
   102      3243973      2167277     48642750     54054000
   103      3432057      2866481     47755462     54054000
   104      2815901      3460164     47777935     54054000
   105      4116729      4651169     45286102     54054000
   106      6333247      6617628     41103125     54054000
   107      6527483      5807533     41718984     54054000
   108      4232710      4468624     45352666     54054000
   109      2486867      4585700     46981433     54054000
   110      3052370      4073267     46928363     54054000
   111      4159247      6618204     43276549     54054000
   112      3678348      2534432     47841220     54054000
   113      3277784      3491132     47285084     54054000
   114      7285035      6674855     40094110     54054000
   115      4098868      3543752     46411380     54054000
   116      4860576      1951902     47241522     54054000
   117      2991484      3125579     47936937     54054000
   118      4231651      3437041     46385308     54054000
   119      6677780      5625312     41750908     54054000
   120     10253065      6562505     37238430     54054000
   121      5902717      4639007     43512276     54054000
   122      3125538      3108436     47820026     54054000
   123      2125010      3466204     48462786     54054000
   124      2166617      1898578     49988805     54054000
   125      3803831      3669023     46581146     54054000
   126      2620192      1672357     49761451     54054000
   127      3407350      3266835     47379815     54054000
   128      5392162      4193971     44467867     54054000
   129      2860079      2278880     48915041     54054000
   130      1718773      2515637     49819590     54054000
   131      2329503      2914321     48810176     54054000
   132      2233445      2100557     49719998     54054000
   133      2069965      1680642     50303393     54054000
   134      4262535      3750348     46041117     54054000
   135      2997594      3188481     47867925     54054000
   136      2634007       817142     50602851     54054000
