 Chunk         Ties       Losses         Wins        Total
     0      1906678      1940963     50206359     54054000
     1      1227686       862448     51963866     54054000
     2      1466074      2049352     50538574     54054000
     3      1670933      4647155     47735912     54054000
     4      1425163      1643680     50985157     54054000
     5      1863143      1915009     50275848     54054000
     6      1489757       714598     51849645     54054000
     7      1648712      3388745     49016543     54054000
     8      2782881      3935573     47335546     54054000
     9      2981635      3492106     47580259     54054000
    10      1723326      4296115     48034559     54054000
    11      1630430      1448407     50975163     54054000
    12      1573264      1235525     51245211     54054000
    13      2185411      1131854     50736735     54054000
    14      2354737      1528432     50170831     54054000
    15      1386259      1135851     51531890     54054000
    16      1515981      1968671     50569348     54054000
    17      1734678      1383483     50935839     54054000
    18      2836877      3120352     48096771     54054000
    19      3295876      2427579     48330545     54054000
    20      3895240      3915852     46242908     54054000
    21      5455322      3429629     45169049     54054000
    22      3983181      3843474     46227345     54054000
    23      2826931      3411126     47815943     54054000
    24      3648698      2436605     47968697     54054000
    25      3456466      3580018     47017516     54054000
    26      1701119      2142797     50210084     54054000
    27      1891023      1126972     51036005     54054000
    28      1596454      1293962     51163584     54054000
    29      2324964      1145121     50583915     54054000
    30      2020043       936434     51097523     54054000
    31      1636760       764672     51652568     54054000
    32      4546764      1294282     48212954     54054000
    33      2914462      1175131     49964407     54054000
    34      1908582      1015212     51130206     54054000
    35      1619077      2303683     50131240     54054000
    36      1585679      1144810     51323511     54054000
    37      2590196      2459037     49004767     54054000
    38      2338046      2191786     49524168     54054000
    39      1666787       718787     51668426     54054000
    40      1857876      1248045     50948079     54054000
    41      3680142      2007981     48365877     54054000
    42      4150630      2616387     47286983     54054000
    43      3128390      1728938     49196672     54054000
    44      3789481      2217462     48047057     54054000
    45      3900676      3766769     46386555     54054000
    46      5504132      3268265     45281603     54054000
    47      4576957      2920502     46556541     54054000
    48      4970228      1879437     47204335     54054000
    49      8662956      3897749     41493295     54054000
    50      7310619      3882279     42861102     54054000
    51      3254889      1967849     48831262     54054000
    52      3059228      3072239     47922533     54054000
    53      4437633      3534302     46082065     54054000
    54      3197979      1580495     49275526     54054000
    55      3254442      1587145     49212413     54054000
    56      8421961      3886482     41745557     54054000
    57      4191155      2470569     47392276     54054000
    58      1487400      1252104     51314496     54054000
    59      2333639      1465875     50254486     54054000
    60      3455261      2083181     48515558     54054000
    61      2124244      1298297     50631459     54054000
    62      1625782      1937852     50490366     54054000
    63      2296833      2025204     49731963     54054000
    64      2048591      1485990     50519419     54054000
    65      1776654      1151238     51126108     54054000
    66      4188775      2506385     47358840     54054000
    67      2842001      2105944     49106055     54054000
    68      2290979       474568     51288453     54054000
    69      2042765      1167836     50843399     54054000
    70      2952695      1062420     50038885     54054000
    71      4603674      2336892     47113434     54054000
    72      5306371      2667849     46079780     54054000
    73      4879051      2223990     46950959     54054000
    74      2626809      1838204     49588987     54054000
    75      1402603      1236729     51414668     54054000
    76      1459423      3297545     49297032     54054000
    77      1478053      1160189     51415758     54054000
    78      2793392      3406531     47854077     54054000
    79      1915745      2382414     49755841     54054000
    80      2131237      1151201     50771562     54054000
    81      1790092      1807934     50455974     54054000
    82      4165255      3109601     46779144     54054000
    83      3578750      3075416     47399834     54054000
    84      2918231      2549058     48586711     54054000
    85      1959284       857681     51237035     54054000
    86      2845444       801964     50406592     54054000
    87      2099057      1382245     50572698     54054000
    88      2480240      1686530     49887230     54054000
    89      3690557      2433351     47930092     54054000
    90      5192337      3131156     45730507     54054000
    91      6603620      3525082     43925298     54054000
    92      3440909      2936915     47676176     54054000
    93      5212574      2573622     46267804     54054000
    94      2263349      1632294     50158357     54054000
    95      2949084      3978703     47126213     54054000
    96      2836072      5718053     45499875     54054000
    97      3439392      5384760     45229848     54054000
    98      3279060      4310770     46464170     54054000
    99      3278280      3456278     47319442     54054000
   100      5080045      5940117     43033838     54054000
   101      4514383      5594954     43944663     54054000
   102      3360971      2138780     48554249     54054000
   103      3544405      2842241     47667354     54054000
   104      2927850      3440420     47685730     54054000
   105      4239112      4609200     45205688     54054000
   106      6555818      6531148     40967034     54054000
   107      6708982      5721352     41623666     54054000
   108      4338221      4397367     45318412     54054000
   109      2599092      4524794     46930114     54054000
   110      3162126      4032988     46858886     54054000
   111      4277269      6532044     43244687     54054000
   112      3796955      2503825     47753220     54054000
   113      3384141      3456703     47213156     54054000
   114      7465269      6548185     40040546     54054000
   115      4220682      3478380     46354938     54054000
   116      4987151      1921229     47145620     54054000
   117      3112302      3102273     47839425     54054000
   118      4350963      3407163     46295874     54054000
   119      6849975      5539414     41664611     54054000
   120     10529239      6436417     37088344     54054000
   121      6056632      4552847     43444521     54054000
   122      3209785      3057005     47787210     54054000
   123      2186328      3426587     48441085     54054000
   124      2229074      1875160     49949766     54054000
   125      3895203      3601268     46557529     54054000
   126      2696273      1653688     49704039     54054000
   127      3494201      3223472     47336327     54054000
   128      5508484      4115867     44429649     54054000
   129      2956715      2226392     48870893     54054000
   130      1785126      2479612     49789262     54054000
   131      2398474      2872162     48783364     54054000
   132      2307044      2065943     49681013     54054000
   133      2131984      1650187     50271829     54054000
   134      4379577      3666620     46007803     54054000
   135      3097052      3113316     47843632     54054000
   136      2700790       798951     50554259     54054000
   137      2386553      1669788     49997659     54054000
   138      3469216      1596100     48988684     54054000
   139      4804808      3228393     46020799     54054000
   140      5471126      3602003     44980871     54054000
   141      5340855      3077355     45635790     54054000
   142      2615238      2096617     49342145     54054000
   143      3942839      2535506     47575655     54054000
   144      2115840      2932165     49005995     54054000
   145      2827643      3577484     47648873     54054000
   146      2925707      2704354     48423939     54054000
   147      4654798      4632243     44766959     54054000
   148      1871847      7064938     45117215     54054000
   149      2435330      7318145     44300525     54054000
   150      3510821      8914615     41628564     54054000
   151      2305799      7612434     44135767     54054000
   152      3828248      7559028     42666724     54054000
   153      4165091      8067912     41820997     54054000
   154      2127898      5740509     46185593     54054000
   155      1744663      2181726     50127611     54054000
   156      1433825      3281592     49338583     54054000
   157      1683581      1977053     50393366     54054000
   158      2374902      3944581     47734517     54054000
   159      2122748      3497661     48433591     54054000
   160      2016758      1184340     50852902     54054000
   161      1904792      1713208     50436000     54054000
   162      3412597      3610168     47031235     54054000
   163      3855572      4311688     45886740     54054000
   164      2936909      3273386     47843705     54054000
   165      1954071      1476489     50623440     54054000
   166      2678947      1130787     50244266     54054000
   167      2903396      1467890     49682714     54054000
   168      2283931      1943821     49826248     54054000
   169      3583013      2718719     47752268     54054000
   170      4548858      4258956     45246186     54054000
   171      6459720      3723802     43870478     54054000
   172      3254242      3348861     47450897     54054000
   173      4848275      3205752     45999973     54054000
   174      2915410      2622295     48516295     54054000
   175      2591706      2189573     49272721     54054000
   176      2730407      1659720     49663873     54054000
   177      3885978      1621601     48546421     54054000
   178      4877477      1975196     47201327     54054000
   179      3151105      2218986     48683909     54054000
   180      2577645      2682661     48793694     54054000
   181      3476755      2615870     47961375     54054000
   182      4648689      2706634     46698677     54054000
   183      3616236      4040587     46397177     54054000
   184      4029660      5885654     44138686     54054000
   185      5339300      5140235     43574465     54054000
   186      5329319      4055686     44668995     54054000
   187      5480797      6347492     42225711     54054000
   188      4015841      5671844     44366315     54054000
   189      5723271      4795517     43535212     54054000
   190      5412514      3916459     44725027     54054000
   191      6469172      5649434     41935394     54054000
   192      2517679      4131630     47404691     54054000
   193      3251189      4188823     46613988     54054000
   194       322762      1257097     52474141     54054000
   195       342677      1070768     52640555     54054000
   196       358321      1261481     52434198     54054000
   197       368440       779343     52906217     54054000
   198       379728       930486     52743786     54054000
   199       490162      1151219     52412619     54054000
   200       288322       658345     53107333     54054000
   201       351032       458048     53244920     54054000
   202       348297       966011     52739692     54054000
   203       402773       825470     52825757     54054000
   204       527092       920218     52606690     54054000
   205       460755      1005353     52587892     54054000
   206       368943       666815     53018242     54054000
   207       241123       505808     53307069     54054000
   208       298861       480010     53275129     54054000
   209       400315       484091     53169594     54054000
   210       220978       859447     52973575     54054000
   211       244017       703772     53106211     54054000
   212       235395       552938     53265667     54054000
   213       313076       659138     53081786     54054000
   214       447107       950673     52656220     54054000
   215       474274      1070946     52508780     54054000
   216       513448       958719     52581833     54054000
   217       497431       762130     52794439     54054000
   218       420081       675402     52958517     54054000
   219       489898       964349     52599753     54054000
   220       424203      1136109     52493688     54054000
   221       509249       950393     52594358     54054000
   222       538985      1101882     52413133     54054000
   223       521541       692831     52839628     54054000
   224       630678      1084344     52338978     54054000
   225       754897      1031002     52268101     54054000
   226       434893       518556     53100551     54054000
   227       538385       460371     53055244     54054000
   228       577210      1029597     52447193     54054000
   229       716022       790761     52547217     54054000
   230       778648      1013512     52261840     54054000
   231       842720       854431     52356849     54054000
   232       529796       570010     52954194     54054000
   233       415792       531891     53106317     54054000
   234       445584       388745     53219671     54054000
   235       571823       456456     53025721     54054000
   236       500671       952834     52600495     54054000
   237       612935       709699     52731366     54054000
   238       551584       501316     53001100     54054000
   239       772727       657767     52623506     54054000
   240       749191      1115183     52189626     54054000
   241       779409       844224     52430367     54054000
   242       726537       881579     52445884     54054000
   243       643482       778859     52631659     54054000
   244       491678       496745     53065577     54054000
   245       841955      1210188     52001857     54054000
   246      1769984      2786215     49497801     54054000
   247      1651503      1705147     50697350     54054000
   248      3596706      2911041     47546253     54054000
   249      1924158      1255616     50874226     54054000
   250      2762671      2166867     49124462     54054000
   251      4926193      2624414     46503393     54054000
   252      2916145      1460085     49677770     54054000
   253      2444660      1276861     50332479     54054000
   254      2181412      1570926     50301662     54054000
   255      3419912      2393261     48240827     54054000
   256      5339455      2770660     45943885     54054000
   257      3640787      2307270     48105943     54054000
   258      3333470      1980761     48739769     54054000
   259      1785838      2725022     49543140     54054000
   260      2397654      2583186     49073160     54054000
   261      2339975      2643619     49070406     54054000
   262      2268980      1457521     50327499     54054000
   263      4361370      3803118     45889512     54054000
   264      3334860      3400479     47318661     54054000
   265      2821878      1212308     50019814     54054000
   266      2381549      1529809     50142642     54054000
   267      3444176      1708990     48900834     54054000
   268      4573228      3502516     45978256     54054000
   269      6000006      3481959     44572035     54054000
   270      4635945      3177483     46240572     54054000
   271      3697316      2629708     47726976     54054000
   272      3132154      2602133     48319713     54054000
   273      2756498      3453202     47844300     54054000
   274      2309165      3351161     48393674     54054000
   275      3139333      3556161     47358506     54054000
   276      4159583      4596932     45297485     54054000
   277      2243692      6432400     45377908     54054000
   278      2084922      9716189     42252889     54054000
   279      2822356      9799045     41432599     54054000
   280      2060511      9329246     42664243     54054000
   281      3372044      9034194     41647762     54054000
   282      4422521     10246061     39385418     54054000
   283      1382834      6265309     46405857     54054000
   284      3066064      5157766     45830170     54054000
   285      3310044      5520223     45223733     54054000
   286      1470790      8276627     44306583     54054000
   287      2006519      4118265     47929216     54054000
   288      2877223      4588740     46588037     54054000
   289      3812202      4688875     45552923     54054000
   290      3139160      4982624     45932216     54054000
   291      2220817      6760544     45072639     54054000
   292      2978172     10396100     40679728     54054000
   293      1704793      6934278     45414929     54054000
   294        18319      2985002     51050679     54054000
   295        18108      2837209     51198683     54054000
   296        21061      2590825     51442114     54054000
   297        35251      3018768     50999981     54054000
   298        69117      2680975     51303908     54054000
   299       112851      2790761     51150388     54054000
   300       150002      2921411     50982587     54054000
   301       230786      2853528     50969686     54054000
   302       155191      2775357     51123452     54054000
   303       900361      5807656     47345983     54054000
   304      1976901      7195973     44881126     54054000
   305      2416658      5485153     46152189     54054000
   306      1223004      2422210     50408786     54054000
   307      1566729      3136612     49350659     54054000
   308      1844407      2864511     49345082     54054000
   309      2455682      5441482     46156836     54054000
   310      1709615      1557372     50787013     54054000
   311      2271730      2096337     49685933     54054000
   312      2696154      3174939     48182907     54054000
   313      4224945      5445263     44383792     54054000
   314      3297987      4522601     46233412     54054000
   315      1711729      2086976     50255295     54054000
   316      2399297      1380063     50274640     54054000
   317      3661687      1681036     48711277     54054000
   318      2068941      2486791     49498268     54054000
   319      3224274      2389152     48440574     54054000
   320      3520821      3905652     46627527     54054000
   321      6078028      4803695     43172277     54054000
   322      4305658      4965012     44783330     54054000
   323      3839866      3390721     46823413     54054000
   324      4523519      4009343     45521138     54054000
   325      2572345      2734335     48747320     54054000
   326      2288569      2920811     48844620     54054000
   327      3511490      2738429     47804081     54054000
   328      3828436      2179168     48046396     54054000
   329      4323112      3661209     46069679     54054000
   330      1845861      4015553     48192586     54054000
   331      3092238      3982448     46979314     54054000
   332      3120156      2869204     48064640     54054000
   333      4173395      5575005     44305600     54054000
   334      2231082      8189433     43633485     54054000
   335      3554822      8039236     42459942     54054000
