 Chunk         Ties       Losses         Wins        Total
     0      1805902      1963450     50284648     54054000
     1      1169523       882282     52002195     54054000
     2      1376065      2096464     50581471     54054000
     3      1610617      4690644     47752739     54054000
     4      1361940      1656077     51035983     54054000
     5      1788683      1940885     50324432     54054000
     6      1421708       736712     51895580     54054000
     7      1604513      3412589     49036898     54054000
     8      2689895      4003781     47360324     54054000
     9      2883039      3555728     47615233     54054000
    10      1671657      4332325     48050018     54054000
    11      1566841      1457555     51029604     54054000
    12      1521175      1247386     51285439     54054000
    13      2136584      1145066     50772350     54054000
    14      2265576      1552749     50235675     54054000
    15      1322833      1163748     51567419     54054000
    16      1464239      1979407     50610354     54054000
    17      1674718      1403050     50976232     54054000
    18      2760288      3164217     48129495     54054000
    19      3215715      2464742     48373543     54054000
    20      3798650      3978563     46276787     54054000
    21      5318258      3521213     45214529     54054000
    22      3876507      3918591     46258902     54054000
    23      2737580      3474295     47842125     54054000
    24      3550815      2499892     48003293     54054000
    25      3341319      3663317     47049364     54054000
    26      1651085      2179707     50223208     54054000
    27      1817110      1140698     51096192     54054000
    28      1542549      1305111     51206340     54054000
    29      2275672      1155804     50622524     54054000
    30      1955624       945432     51152944     54054000
    31      1587676       769611     51696713     54054000
    32      4470926      1317468     48265606     54054000
    33      2857043      1196472     50000485     54054000
    34      1826075      1024399     51203526     54054000
    35      1566771      2323394     50163835     54054000
    36      1521311      1150980     51381709     54054000
    37      2537355      2475210     49041435     54054000
    38      2274001      2212211     49567788     54054000
    39      1616714       723135     51714151     54054000
    40      1792439      1253460     51008101     54054000
    41      3622645      2030549     48400806     54054000
    42      4069811      2659573     47324616     54054000
    43      3065465      1758513     49230022     54054000
    44      3672737      2275236     48106027     54054000
    45      3785750      3838265     46429985     54054000
    46      5369918      3348859     45335223     54054000
    47      4461805      2977647     46614548     54054000
    48      4844242      1923975     47285783     54054000
    49      8507290      3995575     41551135     54054000
    50      7127665      3999623     42926712     54054000
    51      3121181      2058867     48873952     54054000
    52      2966020      3132548     47955432     54054000
    53      4309010      3629544     46115446     54054000
    54      3134089      1607746     49312165     54054000
    55      3153619      1630329     49270052     54054000
    56      8236331      4027078     41790591     54054000
    57      4065174      2560872     47427954     54054000
    58      1430699      1297090     51326211     54054000
    59      2268512      1514781     50270707     54054000
    60      3359220      2164543     48530237     54054000
    61      2030990      1336153     50686857     54054000
    62      1561004      1962383     50530613     54054000
    63      2233099      2054403     49766498     54054000
    64      1978173      1510449     50565378     54054000
    65      1723660      1166814     51163526     54054000
    66      4088062      2564822     47401116     54054000
    67      2758043      2158045     49137912     54054000
    68      2222400       484193     51347407     54054000
    69      1984792      1178362     50890846     54054000
    70      2887060      1081243     50085697     54054000
    71      4489153      2393214     47171633     54054000
    72      5161740      2757003     46135257     54054000
    73      4746550      2312140     46995310     54054000
    74      2532839      1899454     49621707     54054000
    75      1339292      1250565     51464143     54054000
    76      1405695      3321237     49327068     54054000
    77      1420988      1170755     51462257     54054000
    78      2711525      3451957     47890518     54054000
    79      1846363      2414450     49793187     54054000
    80      2066211      1164023     50823766     54054000
    81      1728319      1827346     50498335     54054000
    82      4062449      3161112     46830439     54054000
    83      3479509      3138018     47436473     54054000
