 Chunk         Ties       Losses         Wins        Total
     0      1823123      1961531     50269346     54054000
     1      1176511       881008     51996481     54054000
     2      1386487      2093217     50574296     54054000
     3      1622883      4679597     47751520     54054000
     4      1367708      1655376     51030916     54054000
     5      1798771      1937729     50317500     54054000
     6      1430504       734710     51888786     54054000
     7      1609351      3409038     49035611     54054000
     8      2705823      3989244     47358933     54054000
     9      2887673      3552420     47613907     54054000
    10      1674897      4329680     48049423     54054000
    11      1573027      1456765     51024208     54054000
    12      1526746      1244666     51282588     54054000
    13      2141347      1141838     50770815     54054000
    14      2276768      1551224     50226008     54054000
    15      1331368      1159692     51562940     54054000
    16      1468392      1978451     50607157     54054000
    17      1681718      1401777     50970505     54054000
    18      2763474      3162800     48127726     54054000
    19      3219872      2463225     48370903     54054000
    20      3805589      3972688     46275723     54054000
    21      5329756      3512421     45211823     54054000
    22      3881826      3914818     46257356     54054000
    23      2741996      3471159     47840845     54054000
    24      3556672      2495697     48001631     54054000
    25      3349269      3656282     47048449     54054000
    26      1653553      2177828     50222619     54054000
    27      1824042      1138836     51091122     54054000
    28      1546568      1303390     51204042     54054000
    29      2278448      1154743     50620809     54054000
    30      1958680       944809     51150511     54054000
    31      1590705       769154     51694141     54054000
    32      4474502      1315812     48263686     54054000
    33      2858832      1195373     49999795     54054000
    34      1837943      1023007     51193050     54054000
    35      1573467      2320667     50159866     54054000
    36      1528050      1150130     51375820     54054000
    37      2540648      2473922     49039430     54054000
    38      2277371      2211216     49565413     54054000
    39      1619273       722777     51711950     54054000
    40      1802007      1253147     50998846     54054000
    41      3625657      2029100     48399243     54054000
    42      4073825      2657311     47322864     54054000
    43      3068950      1756242     49228808     54054000
    44      3680091      2270631     48103278     54054000
    45      3796868      3829092     46428040     54054000
    46      5384086      3337378     45332536     54054000
    47      4466369      2974665     46612966     54054000
    48      4857494      1915281     47281225     54054000
    49      8516597      3990937     41546466     54054000
    50      7137727      3991814     42924459     54054000
    51      3130401      2054504     48869095     54054000
    52      2975891      3126224     47951885     54054000
    53      4324498      3616657     46112845     54054000
    54      3140399      1603678     49309923     54054000
    55      3160672      1628242     49265086     54054000
    56      8248240      4018083     41787677     54054000
    57      4076457      2553695     47423848     54054000
    58      1436312      1292651     51325037     54054000
    59      2276324      1507770     50269906     54054000
    60      3364787      2160447     48528766     54054000
    61      2043460      1333219     50677321     54054000
    62      1568658      1959345     50525997     54054000
    63      2240630      2049676     49763694     54054000
    64      1984803      1508424     50560773     54054000
    65      1727818      1165572     51160610     54054000
    66      4096847      2558774     47398379     54054000
    67      2762523      2154214     49137263     54054000
    68      2229272       483439     51341289     54054000
    69      1990868      1177372     50885760     54054000
    70      2891967      1080003     50082030     54054000
    71      4497787      2387612     47168601     54054000
    72      5173290      2750997     46129713     54054000
    73      4759126      2304099     46990775     54054000
    74      2541772      1895020     49617208     54054000
    75      1347059      1249842     51457099     54054000
    76      1411980      3318034     49323986     54054000
    77      1426866      1169910     51457224     54054000
    78      2718467      3447089     47888444     54054000
    79      1851460      2411964     49790576     54054000
    80      2071395      1162899     50819706     54054000
    81      1733396      1826106     50494498     54054000
    82      4067600      3158391     46828009     54054000
    83      3484828      3134089     47435083     54054000
    84      2837128      2605643     48611229     54054000
    85      1896269       864005     51293726     54054000
    86      2776725       813181     50464094     54054000
    87      2039488      1394856     50619656     54054000
    88      2424907      1697689     49931404     54054000
    89      3594528      2480009     47979463     54054000
    90      5080766      3183811     45789423     54054000
    91      6457882      3609055     43987063     54054000
    92      3357456      2992143     47704401     54054000
    93      5094953      2637465     46321582     54054000
    94      2199201      1679716     50175083     54054000
    95      2845986      4034277     47173737     54054000
    96      2746368      5764318     45543314     54054000
    97      3337985      5431709     45284306     54054000
    98      3176268      4353317     46524415     54054000
    99      3169869      3485315     47398816     54054000
   100      4964766      6011256     43077978     54054000
   101      4396922      5676834     43980244     54054000
   102      3248285      2165959     48639756     54054000
   103      3435762      2865435     47752803     54054000
   104      2820077      3458939     47774984     54054000
   105      4121518      4649464     45283018     54054000
   106      6338151      6615101     41100748     54054000
   107      6533140      5804146     41716714     54054000
   108      4237480      4465446     45351074     54054000
   109      2492226      4583220     46978554     54054000
   110      3056981      4071098     46925921     54054000
   111      4165689      6613257     43275054     54054000
   112      3681991      2533022     47838987     54054000
   113      3282412      3490247     47281341     54054000
   114      7292263      6669315     40092422     54054000
   115      4102998      3541060     46409942     54054000
   116      4864145      1950596     47239259     54054000
   117      2997119      3124529     47932352     54054000
   118      4237661      3435142     46381197     54054000
   119      6683631      5621132     41749237     54054000
   120     10260346      6557035     37236619     54054000
   121      5910937      4633511     43509552     54054000
   122      3130723      3104907     47818370     54054000
   123      2128705      3463644     48461651     54054000
   124      2168813      1897738     49987449     54054000
   125      3807735      3666083     46580182     54054000
   126      2623682      1671407     49758911     54054000
   127      3411491      3264059     47378450     54054000
   128      5397429      4189635     44466936     54054000
   129      2863830      2276595     48913575     54054000
   130      1721729      2513672     49818599     54054000
   131      2334217      2910698     48809085     54054000
   132      2236111      2099152     49718737     54054000
   133      2072104      1679965     50301931     54054000
   134      4266374      3747845     46039781     54054000
   135      3000437      3186459     47867104     54054000
   136      2636100       816113     50601787     54054000
   137      2330228      1686879     50036893     54054000
   138      3400191      1626885     49026924     54054000
   139      4678518      3307572     46067910     54054000
   140      5317374      3714608     45022018     54054000
   141      5189625      3191183     45673192     54054000
   142      2517873      2177417     49358710     54054000
   143      3832421      2611529     47610050     54054000
   144      2040636      2981338     49032026     54054000
   145      2743532      3634087     47676381     54054000
   146      2846770      2751428     48455802     54054000
   147      4517542      4730310     44806148     54054000
   148      1778517      7147776     45127707     54054000
   149      2334362      7402487     44317151     54054000
   150      3383044      9017412     41653544     54054000
   151      2211221      7692844     44149935     54054000
   152      3693561      7668207     42692232     54054000
   153      4009021      8203643     41841336     54054000
   154      2048438      5813954     46191608     54054000
   155      1685148      2203123     50165729     54054000
   156      1384267      3310258     49359475     54054000
   157      1629058      1995684     50429258     54054000
   158      2307767      3986446     47759787     54054000
   159      2053975      3540284     48459741     54054000
   160      1971537      1195569     50886894     54054000
   161      1850228      1731545     50472227     54054000
