 Chunk         Ties       Losses         Wins        Total
     0      1805814      1963469     50284717     54054000
     1      1169452       882324     52002224     54054000
     2      1375880      2096602     50581518     54054000
     3      1610540      4690669     47752791     54054000
     4      1361937      1656080     51035983     54054000
     5      1788664      1940895     50324441     54054000
     6      1421686       736725     51895589     54054000
     7      1604473      3412590     49036937     54054000
     8      2689756      4003817     47360427     54054000
     9      2882896      3555777     47615327     54054000
    10      1671636      4332346     48050018     54054000
    11      1566829      1457559     51029612     54054000
    12      1521155      1247391     51285454     54054000
    13      2136556      1145072     50772372     54054000
    14      2265463      1552760     50235777     54054000
    15      1322757      1163757     51567486     54054000
    16      1464221      1979407     50610372     54054000
    17      1674710      1403055     50976235     54054000
    18      2760185      3164280     48129535     54054000
    19      3215124      2464844     48374032     54054000
    20      3798377      3978640     46276983     54054000
    21      5318014      3521226     45214760     54054000
    22      3876389      3918679     46258932     54054000
    23      2737507      3474340     47842153     54054000
    24      3550793      2499904     48003303     54054000
    25      3341116      3663424     47049460     54054000
    26      1651082      2179708     50223210     54054000
    27      1817022      1140762     51096216     54054000
    28      1542530      1305113     51206357     54054000
    29      2275660      1155811     50622529     54054000
    30      1955619       945434     51152947     54054000
    31      1587623       769660     51696717     54054000
    32      4470686      1317472     48265842     54054000
    33      2857024      1196484     50000492     54054000
    34      1825953      1024416     51203631     54054000
    35      1566609      2323407     50163984     54054000
    36      1521289      1150993     51381718     54054000
    37      2537209      2475278     49041513     54054000
    38      2273891      2212211     49567898     54054000
    39      1616678       723135     51714187     54054000
    40      1792317      1253514     51008169     54054000
    41      3622615      2030553     48400832     54054000
    42      4069708      2659620     47324672     54054000
    43      3065447      1758525     49230028     54054000
    44      3672444      2275274     48106282     54054000
    45      3785630      3838327     46430043     54054000
    46      5369735      3348906     45335359     54054000
    47      4461729      2977677     46614594     54054000
    48      4844027      1924043     47285930     54054000
    49      8507183      3995643     41551174     54054000
    50      7127378      3999715     42926907     54054000
    51      3121042      2058893     48874065     54054000
    52      2965952      3132590     47955458     54054000
    53      4308929      3629617     46115454     54054000
    54      3134030      1607764     49312206     54054000
    55      3153455      1630366     49270179     54054000
    56      8236163      4027241     41790596     54054000
    57      4065046      2560967     47427987     54054000
    58      1430639      1297130     51326231     54054000
    59      2268466      1514819     50270715     54054000
    60      3359103      2164660     48530237     54054000
    61      2030969      1336159     50686872     54054000
    62      1560966      1962400     50530634     54054000
    63      2233028      2054432     49766540     54054000
    64      1978117      1510456     50565427     54054000
    65      1723595      1166843     51163562     54054000
    66      4087855      2564883     47401262     54054000
    67      2757793      2158068     49138139     54054000
    68      2222270       484202     51347528     54054000
    69      1984741      1178377     50890882     54054000
    70      2887023      1081256     50085721     54054000
    71      4489119      2393237     47171644     54054000
    72      5161696      2757014     46135290     54054000
    73      4746422      2312234     46995344     54054000
    74      2532703      1899521     49621776     54054000
    75      1339123      1250610     51464267     54054000
    76      1405599      3321247     49327154     54054000
    77      1420939      1170758     51462303     54054000
    78      2711426      3451978     47890596     54054000
    79      1846218      2414588     49793194     54054000
    80      2065975      1164026     50823999     54054000
    81      1728181      1827346     50498473     54054000
    82      4062284      3161138     46830578     54054000
    83      3479400      3138119     47436481     54054000
    84      2830099      2611697     48612204     54054000
    85      1891294       864248     51298458     54054000
    86      2773788       813596     50466616     54054000
    87      2030891      1396014     50627095     54054000
    88      2418542      1698931     49936527     54054000
    89      3585812      2486457     47981731     54054000
    90      5073226      3188326     45792448     54054000
    91      6446232      3614878     43992890     54054000
    92      3348082      2997759     47708159     54054000
    93      5086579      2641997     46325424     54054000
    94      2194341      1683474     50176185     54054000
    95      2836284      4038949     47178767     54054000
    96      2739135      5767550     45547315     54054000
    97      3327094      5438074     45288832     54054000
    98      3168337      4357194     46528469     54054000
    99      3153798      3487373     47412829     54054000
   100      4956297      6016160     43081543     54054000
   101      4385856      5685772     43982372     54054000
   102      3239793      2167829     48646378     54054000
   103      3426921      2867159     47759920     54054000
   104      2812243      3460304     47781453     54054000
   105      4110982      4652731     45290287     54054000
   106      6326640      6621731     41105629     54054000
   107      6518285      5811433     41724282     54054000
   108      4227997      4472402     45353601     54054000
   109      2478391      4588173     46987436     54054000
   110      3044087      4074703     46935210     54054000
   111      4153958      6622335     43277707     54054000
   112      3667874      2535391     47850735     54054000
   113      3266606      3491721     47295673     54054000
   114      7277827      6681285     40094888     54054000
   115      4094519      3546761     46412720     54054000
   116      4854533      1952824     47246643     54054000
   117      2981914      3126223     47945863     54054000
   118      4223880      3437534     46392586     54054000
   119      6671131      5629739     41753130     54054000
   120     10242719      6568355     37242926     54054000
   121      5893190      4645616     43515194     54054000
   122      3121240      3112319     47820441     54054000
   123      2121979      3468705     48463316     54054000
   124      2164900      1899210     49989890     54054000
   125      3799214      3673313     46581473     54054000
   126      2618164      1672948     49762888     54054000
   127      3405291      3268236     47380473     54054000
   128      5386253      4199554     44468193     54054000
   129      2849860      2282177     48921963     54054000
   130      1713970      2517767     49822263     54054000
   131      2324724      2917861     48811415     54054000
   132      2227756      2102726     49723518     54054000
   133      2066059      1682367     50305574     54054000
   134      4256173      3755985     46041842     54054000
   135      2993448      3192409     47868143     54054000
   136      2628982       817956     50607062     54054000
   137      2323822      1689235     50040943     54054000
   138      3393022      1630241     49030737     54054000
   139      4666966      3316345     46070689     54054000
   140      5305674      3723228     45025098     54054000
   141      5174470      3202841     45676689     54054000
   142      2508379      2184861     49360760     54054000
   143      3822421      2617736     47613843     54054000
   144      2033069      2985351     49035580     54054000
   145      2736602      3638442     47678956     54054000
   146      2840393      2755160     48458447     54054000
   147      4504862      4740134     44809004     54054000
   148      1769285      7156248     45128467     54054000
   149      2325392      7409796     44318812     54054000
   150      3371273      9027650     41655077     54054000
   151      2203646      7698277     44152077     54054000
   152      3683394      7675705     42694901     54054000
   153      3995468      8215564     41842968     54054000
   154      2040846      5821103     46192051     54054000
   155      1673636      2204902     50175462     54054000
   156      1377098      3313770     49363132     54054000
   157      1622345      1997150     50434505     54054000
   158      2299214      3992423     47762363     54054000
   159      2048106      3543370     48462524     54054000
   160      1968008      1196698     50889294     54054000
   161      1843159      1732821     50478020     54054000
   162      3325196      3664918     47063886     54054000
   163      3741815      4399153     45913032     54054000
   164      2837646      3349710     47866644     54054000
   165      1889231      1498551     50666218     54054000
   166      2616389      1145012     50292599     54054000
   167      2831645      1492061     49730294     54054000
   168      2223274      1958381     49872345     54054000
   169      3497258      2765592     47791150     54054000
   170      4417696      4351337     45284967     54054000
   171      6296165      3831489     43926346     54054000
   172      3148498      3426430     47479072     54054000
   173      4722927      3294885     46036188     54054000
   174      2807721      2711413     48534866     54054000
   175      2506604      2244163     49303233     54054000
   176      2663071      1681498     49709431     54054000
   177      3797190      1664725     48592085     54054000
   178      4781294      2026919     47245787     54054000
   179      3067396      2268298     48718306     54054000
   180      2515243      2707669     48831088     54054000
   181      3392116      2665447     47996437     54054000
   182      4550605      2757977     46745418     54054000
   183      3508650      4123778     46421572     54054000
   184      3916112      5976495     44161393     54054000
   185      5193786      5259983     43600231     54054000
   186      5218258      4136741     44699001     54054000
   187      5302939      6497208     42253853     54054000
   188      3884848      5776763     44392389     54054000
   189      5551439      4929980     43572581     54054000
   190      5283862      4002683     44767455     54054000
   191      6251700      5826866     41975434     54054000
   192      2422805      4213595     47417600     54054000
   193      3145432      4278674     46629894     54054000
   194       290626      1264335     52499039     54054000
   195       314957      1075311     52663732     54054000
   196       344627      1268711     52440662     54054000
   197       340455       782217     52931328     54054000
   198       355011       934641     52764348     54054000
   199       469799      1158829     52425372     54054000
   200       271993       662176     53119831     54054000
   201       330352       459385     53264263     54054000
   202       318062       968115     52767823     54054000
   203       377846       828062     52848092     54054000
   204       490435       925599     52637966     54054000
   205       434907      1012953     52606140     54054000
   206       350001       671649     53032350     54054000
   207       219284       508630     53326086     54054000
   208       276384       482819     53294797     54054000
   209       365024       487829     53201147     54054000
   210       198243       861130     52994627     54054000
   211       227728       705377     53120895     54054000
   212       217768       553845     53282387     54054000
   213       295275       660596     53098129     54054000
   214       415525       954873     52683602     54054000
   215       434263      1076397     52543340     54054000
   216       474066       963945     52615989     54054000
